上櫃股票融資融券餘額  日期: 96年04月23日
代號,  名稱,  前資餘額(張),  資買,  資賣,  現償,  資餘額,  資屬證金,  資限額,  資使用率(%), 前券餘額(張),   券賣,  券買,  券償,  券餘額,  券屬證金,  券使用率(%),  資券相抵(張),  備註 
1333,恩得利,"8,763","134","106","55","8,736","1,149","20,250","43.14","19","11","1","0","29","0","0.14","0","       "
1565,精華,"1,032","18","9","0","1,041","125","11,908","8.74","2","0","0","0","2","0","0.02","2","       "
1569,濱川,"901","30","91","0","840","110","12,294","6.83","0","0","0","0","0","0","0.0","0","       "
1570,力肯,"2,051","18","41","0","2,028","266","10,615","19.11","36","0","1","0","35","35","0.33","0","       "
1781,合世,"3,134","406","323","0","3,217","337","8,706","36.95","43","16","3","0","56","19","0.64","101","       "
1785,光洋科,"16,330","2,401","1,330","0","17,401","3,146","27,953","62.25","1,073","0","218","2","853","58","3.05","0","       "
1787,福盈科,"3,074","454","285","0","3,243","195","10,804","30.02","80","40","0","0","120","16","1.11","64","       "
1815,富喬,"12,390","780","326","0","12,844","2,834","53,852","23.85","1","0","1","0","0","0","0.0","435","       "
2059,川湖,"2,031","0","6","0","2,025","136","16,780","12.07","0","0","0","0","0","0","0.0","0"," OX    "
2114,鑫永銓,"291","5","3","0","293","36","10,701","2.74","0","0","0","0","0","0","0.0","0","       "
2628,正利,"1,367","3","18","0","1,352","313","60,000","2.25","0","0","0","0","0","0","0.0","0","       "
2916,滿心,"461","25","6","0","480","94","10,051","4.78","0","0","0","0","0","0","0.0","0","       "
3064,泰偉,"6,969","305","386","0","6,888","1,453","10,762","64.0","147","14","28","0","133","30","1.24","61","       "
3066,李洲,"3,654","63","60","4","3,653","538","29,872","12.23","0","2","0","0","2","0","0.01","14","       "
3071,協禧,"12,718","191","105","55","12,749","1,902","19,413","65.67","1","0","0","0","1","0","0.01","7","       "
3078,僑威,"20,141","0","324","0","19,817","2,719","34,250","57.86","0","0","0","0","0","0","0.0","0"," OX    "
3079,宏億,"9,809","355","360","10","9,794","1,368","15,894","61.62","105","0","0","20","85","16","0.53","2","       "
3080,威力盟,"14,999","1,136","691","6","15,438","2,114","35,821","43.1","81","61","0","0","142","7","0.4","533","       "
3083,網龍,"6,985","382","349","2","7,016","825","18,585","37.75","289","40","23","0","306","25","1.65","187","       "
3085,久大,"6,791","78","59","2","6,808","1,258","8,637","78.82","75","5","2","0","78","0","0.9","0","       "
3086,華義,"7,634","365","370","0","7,629","1,037","12,049","63.32","208","61","0","0","269","0","2.23","370","       "
3087,翔準,"14,807","262","280","0","14,789","2,854","71,250","20.76","54","0","0","0","54","3","0.08","93","       "
3088,艾訊,"7,918","0","147","0","7,771","1,212","16,719","46.48","0","0","0","0","0","0","0.0","0"," OX    "
3089,展成,"6,337","275","336","0","6,276","1,684","13,668","45.92","0","0","0","0","0","0","0.0","135","       "
3090,日電貿,"10,592","413","288","0","10,717","1,577","13,975","76.69","10","12","5","0","17","0","0.12","16","       "
3093,港建,"1,497","6","12","0","1,491","285","8,640","17.26","0","0","0","0","0","0","0.0","0","       "
3095,及成,"9,204","808","308","15","9,689","1,165","31,812","30.46","17","1","10","0","8","0","0.03","45","       "
