日期,商品(契約),商品名稱(契約名稱),月份類別,交易人類別,前五大交易人買方,前五大交易人賣方,前十大交易人買方,前十大交易人賣方,全市場未沖銷部位數
2008/11/3,CPF    ,三十天期利率期貨              ,200811,0,4,4,4,4,4
2008/11/3,CPF    ,三十天期利率期貨              ,200811,1,0,0,0,0,4
2008/11/3,CPF    ,三十天期利率期貨              ,999999,0,4,4,4,4,4
2008/11/3,CPF    ,三十天期利率期貨              ,999999,1,0,0,0,0,4
2008/11/3,GBF    ,十年期公債期貨                ,200812,0,9,9,9,9,9
2008/11/3,GBF    ,十年期公債期貨                ,200812,1,0,0,0,0,9
2008/11/3,GBF    ,十年期公債期貨                ,999999,0,14,14,14,14,14
2008/11/3,GBF    ,十年期公債期貨                ,999999,1,0,0,0,0,14
2008/11/3,GDF    ,黃金期貨                      ,200812,0,7,7,7,7,7
2008/11/3,GDF    ,黃金期貨                      ,200812,1,0,0,0,0,7
2008/11/3,GDF    ,黃金期貨                      ,999999,0,9,9,9,9,9
2008/11/3,GDF    ,黃金期貨                      ,999999,1,0,0,0,0,9
2008/11/3,GTF    ,櫃買期貨                      ,200811,0,45,60,56,69,70
2008/11/3,GTF    ,櫃買期貨                      ,200811,1,0,0,0,0,70
2008/11/3,GTF    ,櫃買期貨                      ,999999,0,61,80,74,92,97
2008/11/3,GTF    ,櫃買期貨                      ,999999,1,0,0,0,0,97
2008/11/3,MSF    ,摩臺期                        ,200811,0,14,14,14,14,14
2008/11/3,MSF    ,摩臺期                        ,200811,1,0,0,0,0,14
2008/11/3,MSF    ,摩臺期                        ,999999,0,14,14,14,14,14
2008/11/3,MSF    ,摩臺期                        ,999999,1,0,0,0,0,14
2008/11/3,T5F    ,臺灣50期貨                    ,200811,0,8,8,8,8,8
2008/11/3,T5F    ,臺灣50期貨                    ,200811,1,0,0,0,0,8
2008/11/3,T5F    ,臺灣50期貨                    ,999999,0,11,11,11,11,11
2008/11/3,T5F    ,臺灣50期貨                    ,999999,1,0,0,0,0,11
2008/11/3,TE     ,電子期貨                      ,200811,0,2628,2610,3447,3438,5201
2008/11/3,TE     ,電子期貨                      ,200811,1,2628,1984,2775,2483,5201
2008/11/3,TE     ,電子期貨                      ,999999,0,2634,2610,3478,3535,5500
2008/11/3,TE     ,電子期貨                      ,999999,1,2634,1984,2781,2580,5500
2008/11/3,TF     ,金融期貨                      ,200811,0,1128,1691,1729,2199,3264
2008/11/3,TF     ,金融期貨                      ,200811,1,675,1691,675,2139,3264
2008/11/3,TF     ,金融期貨                      ,999999,0,1145,1804,1864,2336,3513
2008/11/3,TF     ,金融期貨                      ,999999,1,473,1804,677,2276,3513
2008/11/3,TGF    ,臺幣黃金期貨                  ,200812,0,128,82,162,122,250
2008/11/3,TGF    ,臺幣黃金期貨                  ,200812,1,0,0,0,0,250
2008/11/3,TGF    ,臺幣黃金期貨                  ,999999,0,189,186,280,242,449
2008/11/3,TGF    ,臺幣黃金期貨                  ,999999,1,0,0,0,0,449
2008/11/3,TX     ,臺股期貨                      ,200811,0,35085,22419,41358,29596,62692
2008/11/3,TX     ,臺股期貨                      ,200811,1,35085,18904,40076,21923,62692
2008/11/3,TX     ,臺股期貨                      ,999999,0,36011,23743,43327,32969,70227
2008/11/3,TX     ,臺股期貨                      ,999999,1,36011,20227,42045,23712,70227
2008/11/3,XIF    ,非金電期貨                    ,200811,0,265,363,336,392,406
2008/11/3,XIF    ,非金電期貨                    ,200811,1,53,137,77,137,406
2008/11/3,XIF    ,非金電期貨                    ,999999,0,387,494,480,545,573
2008/11/3,XIF    ,非金電期貨                    ,999999,1,31,137,87,137,573
2008/11/4,CPF    ,三十天期利率期貨              ,200811,0,4,4,4,4,4
2008/11/4,CPF    ,三十天期利率期貨              ,200811,1,0,0,0,0,4
2008/11/4,CPF    ,三十天期利率期貨              ,999999,0,4,4,4,4,4
2008/11/4,CPF    ,三十天期利率期貨              ,999999,1,0,0,0,0,4
2008/11/4,GBF    ,十年期公債期貨                ,200812,0,9,9,9,9,9
2008/11/4,GBF    ,十年期公債期貨                ,200812,1,0,0,0,0,9
2008/11/4,GBF    ,十年期公債期貨                ,999999,0,15,14,15,15,15
2008/11/4,GBF    ,十年期公債期貨                ,999999,1,0,0,0,0,15
2008/11/4,GDF    ,黃金期貨                      ,200812,0,7,7,7,7,7
2008/11/4,GDF    ,黃金期貨                      ,200812,1,0,0,0,0,7
2008/11/4,GDF    ,黃金期貨                      ,999999,0,9,9,9,9,9
2008/11/4,GDF    ,黃金期貨                      ,999999,1,0,0,0,0,9
2008/11/4,GTF    ,櫃買期貨                      ,200811,0,53,71,68,79,79
2008/11/4,GTF    ,櫃買期貨                      ,200811,1,0,0,0,0,79
2008/11/4,GTF    ,櫃買期貨                      ,999999,0,67,83,83,98,102
2008/11/4,GTF    ,櫃買期貨                      ,999999,1,0,0,0,0,102
2008/11/4,MSF    ,摩臺期                        ,200811,0,19,19,19,19,19
2008/11/4,MSF    ,摩臺期                        ,200811,1,0,0,0,0,19
2008/11/4,MSF    ,摩臺期                        ,999999,0,19,19,19,19,19
2008/11/4,MSF    ,摩臺期                        ,999999,1,0,0,0,0,19
2008/11/4,T5F    ,臺灣50期貨                    ,200811,0,8,8,8,8,8
2008/11/4,T5F    ,臺灣50期貨                    ,200811,1,0,0,0,0,8
2008/11/4,T5F    ,臺灣50期貨                    ,999999,0,11,11,11,11,11
2008/11/4,T5F    ,臺灣50期貨                    ,999999,1,0,0,0,0,11
2008/11/4,TE     ,電子期貨                      ,200811,0,2830,2999,3822,3937,5543
2008/11/4,TE     ,電子期貨                      ,200811,1,2497,1981,2949,2738,5543
2008/11/4,TE     ,電子期貨                      ,999999,0,2831,2999,3860,4039,5832
