期貨商代號,名稱,CPF,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,CPF,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,總計CPF,總計GBF,總計MTX,總計T5F,總計TE,總計TF,總計TX,總計GDF,總計XIF,總計GTF,總計TGF,總計STF,總計,市佔率
Date,,20120402,,,,,,,,,,,,,20120403,,,,,,,,,,,,,99999999,,,,,,,,,,,,
F021000,寶來曼氏期貨,0,0,26720.00000000000000,0,3136.000000000000000,4686.000000000000000,42569.00000000000000,0,125.0000000000000000,2.000000000000000000,38.00000000000000000,740.0000000000000000,78016.00000000000000,2.000000000000000000,0,42047.00000000000000,0,4957.000000000000000,7972.000000000000000,64685.00000000000000,0,307.0000000000000000,9.000000000000000000,34.00000000000000000,1194.000000000000000,121207.0000000000000,2.000000000000000000,0,68767.00000000000000,0,8093.000000000000000,12658.00000000000000,107254.0000000000000,0,432.0000000000000000,11.00000000000000000,72.00000000000000000,1934.000000000000000,199223.0000000000000,22.34000000000000000
F004000,凱基期貨,0,0,10429.00000000000000,0,318.0000000000000000,477.0000000000000000,15768.00000000000000,0,10.00000000000000000,2.000000000000000000,2.000000000000000000,392.0000000000000000,27398.00000000000000,0,0,15768.00000000000000,1.000000000000000000,719.0000000000000000,833.0000000000000000,23225.00000000000000,0,2.000000000000000000,2.000000000000000000,1.000000000000000000,699.0000000000000000,41250.00000000000000,0,0,26197.00000000000000,1.000000000000000000,1037.000000000000000,1310.000000000000000,38993.00000000000000,0,12.00000000000000000,4.000000000000000000,3.000000000000000000,1091.000000000000000,68648.00000000000000,7.700000000000000000
F020000,群益期貨,0,0,11129.00000000000000,0,258.0000000000000000,389.0000000000000000,13180.00000000000000,0,12.00000000000000000,2.000000000000000000,4.000000000000000000,459.0000000000000000,25433.00000000000000,0,0,16772.00000000000000,0,566.0000000000000000,569.0000000000000000,23024.00000000000000,0,3.000000000000000000,12.00000000000000000,3.000000000000000000,1021.000000000000000,41970.00000000000000,0,0,27901.00000000000000,0,824.0000000000000000,958.000000000000000,36204.00000000000000,0,15.00000000000000000,14.00000000000000000,7.000000000000000000,1480.000000000000000,67403.00000000000000,7.560000000000000000
F002000,永豐期貨,0,0,10484.00000000000000,1.000000000000000000,310.0000000000000000,447.0000000000000000,10506.00000000000000,0,30.00000000000000000,18.00000000000000000,3.000000000000000000,265.0000000000000000,22064.00000000000000,0,0,17197.00000000000000,0,864.0000000000000000,1229.000000000000000,18721.00000000000000,0,106.0000000000000000,37.00000000000000000,8.000000000000000000,423.0000000000000000,38585.00000000000000,0,0,27681.00000000000000,1.000000000000000000,1174.000000000000000,1676.000000000000000,29227.00000000000000,0,136.0000000000000000,55.00000000000000000,11.00000000000000000,688.0000000000000000,60649.00000000000000,6.800000000000000000
F021999,寶來曼氏期貨自營,0,0,3836.000000000000000,0,411.0000000000000000,318.0000000000000000,7495.000000000000000,0,0,0,0,541.0000000000000000,12601.00000000000000,0,0,6600.000000000000000,0,604.0000000000000000,675.0000000000000000,19466.00000000000000,0,2.000000000000000000,0,0,737.0000000000000000,28084.00000000000000,0,0,10436.00000000000000,0,1015.000000000000000,993.000000000000000,26961.00000000000000,0,2.000000000000000000,0,0,1278.000000000000000,40685.00000000000000,4.559999999999999488
F008000,統一期貨,0,0,4393.000000000000000,0,171.0000000000000000,339.0000000000000000,8292.000000000000000,0,0,0,9.000000000000000000,510.0000000000000000,13714.00000000000000,0,0,7823.000000000000000,0,509.0000000000000000,561.0000000000000000,15045.00000000000000,0,0,2.000000000000000000,14.00000000000000000,625.0000000000000000,24579.00000000000000,0,0,12216.00000000000000,0,680.0000000000000000,900.0000000000000000,23337.00000000000000,0,0,2.000000000000000000,23.00000000000000000,1135.000000000000000,38293.00000000000000,4.290000000000000000
F029000,康和期貨,0,0,6840.000000000000000,0,139.0000000000000000,224.0000000000000000,6628.000000000000000,0,15.00000000000000000,0,10.00000000000000000,841.0000000000000000,14697.00000000000000,0,0,10686.00000000000000,0,214.0000000000000000,286.0000000000000000,10099.00000000000000,0,6.000000000000000000,20.00000000000000000,4.000000000000000000,715.0000000000000000,22030.00000000000000,0,0,17526.00000000000000,0,353.0000000000000000,510.0000000000000000,16727.00000000000000,0,21.00000000000000000,20.00000000000000000,14.00000000000000000,1556.000000000000000,36727.00000000000000,4.120000000000000000
S980999,元大寶來證券自營,0,0,222.0000000000000000,0,64.00000000000000000,48.00000000000000000,1400.000000000000000,0,39.00000000000000000,12.00000000000000000,17.00000000000000000,9306.00000000000000,11108.00000000000000,0,0,1223.000000000000000,0,220.0000000000000000,170.0000000000000000,5386.000000000000000,0,150.0000000000000000,15.00000000000000000,20.00000000000000000,15394.00000000000000,22578.00000000000000,0,0,1445.000000000000000,0,284.0000000000000000,218.0000000000000000,6786.000000000000000,0,189.0000000000000000,27.00000000000000000,37.00000000000000000,24700.00000000000000,33686.00000000000000,3.780000000000000000
F026000,富邦期貨,0,0,5079.000000000000000,0,288.0000000000000000,218.0000000000000000,5612.000000000000000,0,9.000000000000000000,4.000000000000000000,24.00000000000000000,780.0000000000000000,12014.00000000000000,0,0,8018.000000000000000,0,759.0000000000000000,793.0000000000000000,10093.00000000000000,0,12.00000000000000000,0,34.00000000000000000,775.0000000000000000,20484.00000000000000,0,0,13097.00000000000000,0,1047.000000000000000,1011.000000000000000,15705.00000000000000,0,21.00000000000000000,4.000000000000000000,58.00000000000000000,1555.000000000000000,32498.00000000000000,3.640000000000000000
