期貨商代號,名稱,CPF,GBF,MTX,T5F,TE,TF,TX,GDF,MSF,XIF,GTF,TGF,STF,小計,CPF,GBF,MTX,T5F,TE,TF,TX,GDF,MSF,XIF,GTF,TGF,STF,小計,CPF,GBF,MTX,T5F,TE,TF,TX,GDF,MSF,XIF,GTF,TGF,STF,小計,CPF,GBF,MTX,T5F,TE,TF,TX,GDF,MSF,XIF,GTF,TGF,STF,小計,CPF,GBF,MTX,T5F,TE,TF,TX,GDF,MSF,XIF,GTF,TGF,STF,小計,CPF,GBF,MTX,T5F,TE,TF,TX,GDF,MSF,XIF,GTF,TGF,STF,小計,CPF,GBF,MTX,T5F,TE,TF,TX,GDF,MSF,XIF,GTF,TGF,STF,小計,CPF,GBF,MTX,T5F,TE,TF,TX,GDF,MSF,XIF,GTF,TGF,STF,小計,CPF,GBF,MTX,T5F,TE,TF,TX,GDF,MSF,XIF,GTF,TGF,STF,小計
Date,,20110401,,,,,,,,,,,,,,20110406,,,,,,,,,,,,,,20110407,,,,,,,,,,,,,,20110408,,,,,,,,,,,,,,20110411,,,,,,,,,,,,,,20110412,,,,,,,,,,,,,,20110413,,,,,,,,,,,,,,20110414,,,,,,,,,,,,,,20110415,,,,,,,,,,,,,
F006000,元大期貨,0,0,6928.000000000000000,0,757.0000000000000000,692.0000000000000000,14081.00000000000000,1.000000000000000000,0,89.00000000000000000,0,103.0000000000000000,154.0000000000000000,22805.00000000000000,0,0,9387.00000000000000,0,1160.000000000000000,1850.000000000000000,23720.00000000000000,13.00000000000000000,0,87.00000000000000000,6.000000000000000000,269.0000000000000000,179.0000000000000000,36671.00000000000000,0,0,7148.000000000000000,0,940.000000000000000,1252.000000000000000,16541.00000000000000,0,0,48.00000000000000000,0,214.0000000000000000,73.00000000000000000,26216.00000000000000,0,0,9075.000000000000000,2.000000000000000000,1003.000000000000000,1947.000000000000000,21080.00000000000000,1.000000000000000000,0,255.0000000000000000,0,192.0000000000000000,229.0000000000000000,33784.00000000000000,0,0,7961.000000000000000,0,839.0000000000000000,1948.000000000000000,20791.00000000000000,10.00000000000000000,0,76.00000000000000000,0,18.00000000000000000,123.0000000000000000,31766.00000000000000,0,0,10677.00000000000000,0,1104.000000000000000,1578.000000000000000,33055.00000000000000,1.000000000000000000,0,48.00000000000000000,0,175.0000000000000000,61.00000000000000000,46699.00000000000000,0,0,9111.000000000000000,0,870.0000000000000000,1004.000000000000000,23425.00000000000000,0,0,58.00000000000000000,1.000000000000000000,54.00000000000000000,104.0000000000000000,34627.00000000000000,0,0,11035.00000000000000,0,920.0000000000000000,1155.000000000000000,23703.00000000000000,0,0,99.0000000000000000,0,9.000000000000000000,46.00000000000000000,36967.00000000000000,0,0,10240.00000000000000,0,935.000000000000000,1634.000000000000000,26166.00000000000000,1.000000000000000000,0,29.00000000000000000,0,79.00000000000000000,151.0000000000000000,39235.00000000000000
F004000,凱基期貨,0,0,8270.000000000000000,4.000000000000000000,828.0000000000000000,1047.000000000000000,16269.00000000000000,0,0,160.0000000000000000,4.000000000000000000,19.00000000000000000,60.00000000000000000,26661.00000000000000,0,0,10438.00000000000000,1.000000000000000000,1176.000000000000000,1331.000000000000000,21968.00000000000000,0,2.000000000000000000,136.0000000000000000,5.000000000000000000,39.00000000000000000,519.0000000000000000,35615.00000000000000,0,0,8650.000000000000000,0,596.0000000000000000,909.0000000000000000,16649.00000000000000,0,0,188.0000000000000000,7.000000000000000000,29.00000000000000000,252.0000000000000000,27280.00000000000000,0,0,11508.00000000000000,3.000000000000000000,1371.000000000000000,2157.000000000000000,20965.00000000000000,0,4.000000000000000000,311.0000000000000000,15.00000000000000000,19.00000000000000000,437.0000000000000000,36790.00000000000000,0,0,9401.00000000000000,0,980.000000000000000,1291.000000000000000,16464.00000000000000,0,6.000000000000000000,233.0000000000000000,0,14.00000000000000000,562.0000000000000000,28951.00000000000000,0,0,13856.00000000000000,2.000000000000000000,1101.000000000000000,1172.000000000000000,25181.00000000000000,0,2.000000000000000000,196.0000000000000000,17.00000000000000000,5.000000000000000000,580.0000000000000000,42112.00000000000000,0,0,11411.00000000000000,0,1163.000000000000000,1067.000000000000000,18145.00000000000000,0,0,128.0000000000000000,1.000000000000000000,4.000000000000000000,344.0000000000000000,32263.00000000000000,0,0,13613.00000000000000,6.000000000000000000,1262.000000000000000,1229.000000000000000,24386.00000000000000,0,0,181.0000000000000000,11.00000000000000000,3.000000000000000000,475.0000000000000000,41166.00000000000000,0,0,12980.00000000000000,0,1369.000000000000000,1388.000000000000000,20287.00000000000000,0,0,162.0000000000000000,11.00000000000000000,27.00000000000000000,315.0000000000000000,36539.00000000000000
F021000,寶來曼氏期貨,0,0,8060.000000000000000,0,1275.000000000000000,945.000000000000000,13194.00000000000000,0,0,41.00000000000000000,5.000000000000000000,31.00000000000000000,116.0000000000000000,23667.00000000000000,0,0,9635.00000000000000,1.000000000000000000,932.000000000000000,1333.000000000000000,17767.00000000000000,0,0,56.00000000000000000,10.00000000000000000,44.00000000000000000,176.0000000000000000,29954.00000000000000,0,0,8042.000000000000000,0,894.0000000000000000,961.000000000000000,17171.00000000000000,0,0,80.00000000000000000,0,19.00000000000000000,99.0000000000000000,27266.00000000000000,0,0,10330.00000000000000,1.000000000000000000,951.000000000000000,1602.000000000000000,19886.00000000000000,0,0,108.0000000000000000,6.000000000000000000,40.00000000000000000,380.0000000000000000,33304.00000000000000,0,0,8191.000000000000000,0,983.000000000000000,1195.000000000000000,15016.00000000000000,0,0,47.00000000000000000,0,58.00000000000000000,111.0000000000000000,25601.00000000000000,0,0,13306.00000000000000,0,1531.000000000000000,1332.000000000000000,24073.00000000000000,0,0,93.0000000000000000,10.00000000000000000,41.00000000000000000,237.0000000000000000,40623.00000000000000,0,0,10545.00000000000000,0,1278.000000000000000,824.0000000000000000,18787.00000000000000,0,0,76.00000000000000000,0,19.00000000000000000,152.0000000000000000,31681.00000000000000,0,0,11325.00000000000000,0,1620.000000000000000,1147.000000000000000,23153.00000000000000,0,0,103.0000000000000000,10.00000000000000000,14.00000000000000000,174.0000000000000000,37546.00000000000000,0,0,10644.00000000000000,0,1528.000000000000000,1383.000000000000000,20652.00000000000000,0,0,71.00000000000000000,9.000000000000000000,73.00000000000000000,116.0000000000000000,34476.00000000000000
F020000,群益期貨,0,0,7705.000000000000000,0,659.0000000000000000,579.0000000000000000,13348.00000000000000,0,0,26.00000000000000000,0,30.00000000000000000,339.0000000000000000,22686.00000000000000,0,0,8671.000000000000000,0,991.000000000000000,1325.000000000000000,16919.00000000000000,0,0,53.00000000000000000,2.000000000000000000,82.00000000000000000,336.0000000000000000,28379.00000000000000,0,0,7918.000000000000000,0,727.0000000000000000,777.0000000000000000,12149.00000000000000,0,0,47.00000000000000000,2.000000000000000000,42.00000000000000000,411.0000000000000000,22073.00000000000000,0,0,9671.00000000000000,0,597.0000000000000000,1309.000000000000000,19440.00000000000000,0,0,54.00000000000000000,1.000000000000000000,10.00000000000000000,878.0000000000000000,31960.00000000000000,0,0,8318.000000000000000,0,492.0000000000000000,781.0000000000000000,12084.00000000000000,0,0,20.00000000000000000,0,9.000000000000000000,397.0000000000000000,22101.00000000000000,0,0,12457.00000000000000,0,609.0000000000000000,653.0000000000000000,23343.00000000000000,0,0,61.00000000000000000,2.000000000000000000,9.000000000000000000,564.0000000000000000,37698.00000000000000,0,0,9902.00000000000000,0,499.0000000000000000,560.0000000000000000,17210.00000000000000,0,0,27.00000000000000000,0,6.000000000000000000,506.0000000000000000,28710.00000000000000,0,0,11855.00000000000000,4.000000000000000000,579.0000000000000000,648.0000000000000000,20501.00000000000000,0,0,71.00000000000000000,2.000000000000000000,16.00000000000000000,275.0000000000000000,33951.00000000000000,0,0,12075.00000000000000,0,610.0000000000000000,791.0000000000000000,18535.00000000000000,0,0,35.00000000000000000,1.000000000000000000,63.00000000000000000,492.0000000000000000,32602.00000000000000
F002000,永豐期貨,0,0,8471.000000000000000,0,925.000000000000000,979.000000000000000,12919.00000000000000,0,0,82.00000000000000000,0,12.00000000000000000,245.0000000000000000,23633.00000000000000,0,0,11162.00000000000000,0,1221.000000000000000,2181.000000000000000,18013.00000000000000,0,1.000000000000000000,103.0000000000000000,1.000000000000000000,40.00000000000000000,293.0000000000000000,33015.00000000000000,0,0,8716.000000000000000,0,678.0000000000000000,1186.000000000000000,12851.00000000000000,0,0,89.00000000000000000,1.000000000000000000,37.00000000000000000,264.0000000000000000,23822.00000000000000,0,0,11367.00000000000000,0,1333.000000000000000,1831.000000000000000,17516.00000000000000,0,0,175.0000000000000000,13.00000000000000000,35.00000000000000000,362.0000000000000000,32632.00000000000000,0,0,8599.000000000000000,0,1039.000000000000000,1142.000000000000000,12169.00000000000000,0,0,33.00000000000000000,4.000000000000000000,34.00000000000000000,265.0000000000000000,23285.00000000000000,0,0,13504.00000000000000,0,1559.000000000000000,1479.000000000000000,21334.00000000000000,0,0,139.0000000000000000,6.000000000000000000,23.00000000000000000,438.0000000000000000,38482.00000000000000,0,0,11052.00000000000000,0,902.0000000000000000,821.0000000000000000,13887.00000000000000,0,0,36.00000000000000000,7.000000000000000000,18.00000000000000000,185.0000000000000000,26908.00000000000000,0,0,13431.00000000000000,0,1003.000000000000000,938.000000000000000,16401.00000000000000,0,0,78.00000000000000000,21.00000000000000000,6.000000000000000000,135.0000000000000000,32013.00000000000000,0,0,13474.00000000000000,0,953.000000000000000,1200.000000000000000,15643.00000000000000,0,0,133.0000000000000000,21.00000000000000000,20.00000000000000000,458.0000000000000000,31902.00000000000000
F021999,寶來曼氏期貨自營,0,0,2361.000000000000000,0,411.0000000000000000,375.0000000000000000,5993.000000000000000,0,0,102.0000000000000000,0,0,0,9242.00000000000000,0,0,6778.000000000000000,0,482.0000000000000000,428.0000000000000000,16309.00000000000000,0,0,135.0000000000000000,0,0,5.000000000000000000,24137.00000000000000,0,0,3774.000000000000000,0,414.0000000000000000,520.0000000000000000,8877.000000000000000,0,0,118.0000000000000000,0,0,5.000000000000000000,13708.00000000000000,0,0,6607.000000000000000,0,544.0000000000000000,479.0000000000000000,17117.00000000000000,0,0,150.0000000000000000,0,0,52.00000000000000000,24949.00000000000000,0,0,6730.000000000000000,0,358.0000000000000000,520.0000000000000000,11566.00000000000000,0,0,172.0000000000000000,0,0,50.00000000000000000,19396.00000000000000,0,0,13334.00000000000000,0,481.0000000000000000,381.0000000000000000,23098.00000000000000,0,0,169.0000000000000000,0,0,14.00000000000000000,37477.00000000000000,0,0,6462.000000000000000,0,506.0000000000000000,395.0000000000000000,11229.00000000000000,0,0,136.0000000000000000,0,0,25.00000000000000000,18753.00000000000000,0,0,14603.00000000000000,0,577.0000000000000000,495.0000000000000000,16842.00000000000000,0,0,202.0000000000000000,0,0,41.00000000000000000,32760.00000000000000,0,0,12411.00000000000000,0,357.0000000000000000,261.0000000000000000,16467.00000000000000,0,0,175.0000000000000000,0,0,28.00000000000000000,29699.00000000000000
F007000,日盛期貨,0,0,5045.000000000000000,0,620.0000000000000000,344.0000000000000000,7825.000000000000000,0,0,6.000000000000000000,0,5.000000000000000000,43.00000000000000000,13888.00000000000000,0,0,6144.000000000000000,0,609.0000000000000000,860.0000000000000000,11003.00000000000000,0,0,14.00000000000000000,0,19.00000000000000000,84.00000000000000000,18733.00000000000000,0,0,4835.000000000000000,0,439.0000000000000000,725.0000000000000000,9176.000000000000000,0,0,9.000000000000000000,39.00000000000000000,8.000000000000000000,49.00000000000000000,15280.00000000000000,0,0,6343.000000000000000,0,550.0000000000000000,574.0000000000000000,9497.00000000000000,0,0,21.00000000000000000,92.00000000000000000,13.00000000000000000,126.0000000000000000,17216.00000000000000,0,0,4848.000000000000000,0,327.0000000000000000,663.0000000000000000,7795.000000000000000,0,0,5.000000000000000000,20.00000000000000000,26.00000000000000000,13.00000000000000000,13697.00000000000000,0,0,8297.000000000000000,0,448.0000000000000000,444.0000000000000000,12425.00000000000000,0,0,23.00000000000000000,187.0000000000000000,29.00000000000000000,45.00000000000000000,21898.00000000000000,0,0,6223.000000000000000,0,453.0000000000000000,260.0000000000000000,10773.00000000000000,0,0,12.00000000000000000,0,12.00000000000000000,27.00000000000000000,17760.00000000000000,0,0,7341.000000000000000,0,495.0000000000000000,575.0000000000000000,12426.00000000000000,0,0,145.0000000000000000,43.00000000000000000,4.000000000000000000,13.00000000000000000,21042.00000000000000,0,0,7350.000000000000000,0,400.0000000000000000,507.0000000000000000,11275.00000000000000,0,0,14.00000000000000000,1.000000000000000000,29.00000000000000000,33.00000000000000000,19609.00000000000000
F008000,統一期貨,0,0,4140.000000000000000,2.000000000000000000,492.0000000000000000,428.0000000000000000,8184.000000000000000,0,0,0,0,3.000000000000000000,177.0000000000000000,13426.00000000000000,0,0,4760.000000000000000,0,725.0000000000000000,729.0000000000000000,11104.00000000000000,0,0,4.000000000000000000,0,11.00000000000000000,251.0000000000000000,17584.00000000000000,0,0,4145.000000000000000,0,459.0000000000000000,469.0000000000000000,8466.000000000000000,0,0,0,0,10.00000000000000000,198.0000000000000000,13747.00000000000000,0,0,5168.000000000000000,0,645.0000000000000000,790.0000000000000000,10871.00000000000000,0,0,3.000000000000000000,0,10.00000000000000000,354.0000000000000000,17841.00000000000000,0,0,4029.000000000000000,0,688.0000000000000000,715.0000000000000000,9242.00000000000000,0,0,11.00000000000000000,0,14.00000000000000000,117.0000000000000000,14816.00000000000000,0,0,5749.000000000000000,2.000000000000000000,740.0000000000000000,603.0000000000000000,12372.00000000000000,0,0,10.00000000000000000,0,6.000000000000000000,238.0000000000000000,19720.00000000000000,0,0,4608.000000000000000,0,583.0000000000000000,586.0000000000000000,8507.000000000000000,0,0,35.00000000000000000,0,2.000000000000000000,245.0000000000000000,14566.00000000000000,0,0,4781.000000000000000,0,522.0000000000000000,359.0000000000000000,12234.00000000000000,0,0,3.000000000000000000,0,2.000000000000000000,99.0000000000000000,18000.00000000000000,0,0,4965.000000000000000,0,413.0000000000000000,376.0000000000000000,9366.00000000000000,0,0,4.000000000000000000,0,9.000000000000000000,60.00000000000000000,15193.00000000000000
F029000,康和期貨,0,0,5831.000000000000000,0,216.0000000000000000,357.0000000000000000,6984.000000000000000,0,0,13.00000000000000000,0,10.00000000000000000,60.00000000000000000,13471.00000000000000,0,0,6604.000000000000000,0,301.0000000000000000,488.0000000000000000,8582.000000000000000,0,0,7.000000000000000000,0,20.00000000000000000,326.0000000000000000,16328.00000000000000,0,0,6429.000000000000000,0,172.0000000000000000,428.0000000000000000,8096.000000000000000,0,0,5.000000000000000000,1.000000000000000000,7.000000000000000000,104.0000000000000000,15242.00000000000000,0,0,7689.000000000000000,0,222.0000000000000000,724.0000000000000000,8976.000000000000000,0,0,3.000000000000000000,0,12.00000000000000000,133.0000000000000000,17759.00000000000000,0,0,6466.000000000000000,0,194.0000000000000000,452.0000000000000000,6799.000000000000000,0,0,9.000000000000000000,0,11.00000000000000000,110.0000000000000000,14041.00000000000000,0,0,8751.000000000000000,0,266.0000000000000000,442.0000000000000000,11042.00000000000000,0,0,37.00000000000000000,0,10.00000000000000000,54.00000000000000000,20602.00000000000000,0,0,6542.000000000000000,0,216.0000000000000000,306.0000000000000000,8787.000000000000000,0,0,34.00000000000000000,2.000000000000000000,5.000000000000000000,44.00000000000000000,15936.00000000000000,0,0,8488.000000000000000,0,259.0000000000000000,429.0000000000000000,9288.00000000000000,0,0,13.00000000000000000,5.000000000000000000,7.000000000000000000,44.00000000000000000,18533.00000000000000,0,0,8365.000000000000000,0,261.0000000000000000,443.0000000000000000,8537.000000000000000,0,0,12.00000000000000000,1.000000000000000000,15.00000000000000000,65.00000000000000000,17699.00000000000000
