期貨商代號,名稱,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,GBF,MTX,T5F,TE,TF,TX,GDF,XIF,GTF,TGF,STF,小計,總計GBF,總計MTX,總計T5F,總計TE,總計TF,總計TX,總計GDF,總計XIF,總計GTF,總計TGF,總計STF,總計,市佔率
Date,,20140901,,,,,,,,,,,,20140902,,,,,,,,,,,,20140903,,,,,,,,,,,,20140904,,,,,,,,,,,,99999999,,,,,,,,,,,
F021000,元大寶來期貨,0,15235,2,3195,2539,26730,0,46,5,6,9178,56936,0,19303,0,2352,3708,45705,0,93,1,24,8530,79716,0,17337,0,2432,3577,37847,0,85,0,9,3768,65055,0,17771,0,2007,1964,40861,0,90,2,14,4360,67069,0,69646,2,9986,11788,151143,0,314,8,53,25836,268776,16.12
F004000,凱基期貨,0,9175,2,2033,1012,23542,0,20,1,8,3868,39661,0,20115,2,2975,1774,43758,0,39,1,14,5807,74485,0,15178,0,2310,1637,36688,0,87,0,8,4144,60052,0,17687,0,2889,1120,35274,0,84,0,11,3421,60486,0,62155,4,10207,5543,139262,0,230,2,41,17240,234684,14.07
S980999,元大寶來證券自營,0,5588,0,172,361,8983,0,61,0,28,18471,33664,0,12205,0,280,610,16328,0,84,0,167,21709,51383,0,9103,0,281,494,11454,0,86,0,21,14760,36199,0,6951,0,178,366,11434,0,78,0,31,16681,35719,0,33847,0,911,1831,48199,0,309,0,247,71621,156965,9.41
F020000,群益期貨,0,7009,0,679,260,11691,0,6,0,3,7503,27151,0,12908,0,842,576,22683,0,18,5,6,8884,45922,0,9699,0,541,494,18836,0,13,0,12,6698,36293,0,9923,0,431,332,18661,0,5,5,5,5472,34834,0,39539,0,2493,1662,71871,0,42,10,26,28557,144200,8.65
F002000,永豐期貨,0,8217,0,608,523,9484,0,5,0,1,1790,20628,0,15784,0,819,913,13491,0,19,1,15,2536,33578,0,13180,0,719,690,16876,0,7,3,2,1420,32897,0,13210,0,524,419,12992,0,27,1,3,1739,28915,0,50391,0,2670,2545,52843,0,58,5,21,7485,116018,6.96
F008000,統一期貨,0,2841,0,440,363,5779,0,5,2,1,2451,11882,0,4456,0,813,962,11306,0,23,0,1,4304,21865,0,4185,0,343,540,9628,0,1,0,1,3089,17787,0,3877,0,541,331,8355,0,7,0,1,2555,15667,0,15359,0,2137,2196,35068,0,36,2,4,12399,67201,4.03
S920999,凱基證券自營,0,55,0,15,24,542,0,32,0,25,10655,11348,0,321,0,10,64,2898,0,97,0,71,12212,15673,0,216,0,55,6,1301,0,23,0,36,11128,12765,0,146,0,85,42,1817,0,44,0,46,12691,14871,0,738,0,165,136,6558,0,196,0,178,46686,54657,3.28
F029000,康和期貨,0,2823,0,125,134,4834,0,0,1,2,971,8890,0,6047,0,329,281,9143,0,0,0,1,887,16688,0,5184,0,377,372,8891,0,1,0,6,834,15665,0,4882,0,288,219,7097,0,0,1,3,871,13361,0,18936,0,1119,1006,29965,0,1,2,12,3563,54604,3.27
F026000,富邦期貨,0,2232,0,296,330,4359,0,11,3,0,2107,9338,0,4680,0,569,525,6923,0,19,0,2,2422,15140,0,4135,0,448,543,5953,0,9,2,4,2523,13617,0,3562,0,308,242,6046,0,0,0,0,2952,13110,0,14609,0,1621,1640,23281,0,39,5,6,10004,51205,3.07
F007000,日盛期貨,0,3243,0,379,304,4188,0,6,3,6,556,8685,0,6264,0,570,617,8052,0,1,4,5,929,16442,0,5287,0,483,491,6120,0,2,3,19,696,13101,0,4652,0,518,226,5981,0,5,2,2,789,12175,0,19446,0,1950,1638,24341,0,14,12,32,2970,50403,3.02
F039000,大昌期貨,0,2712,0,158,86,3384,0,1,1,1,391,6734,0,5337,0,318,193,5532,0,1,3,76,614,12074,0,4691,0,175,208,5031,0,10,1,36,446,10598,0,4240,0,225,121,4364,0,0,1,0,422,9373,0,16980,0,876,608,18311,0,12,6,113,1873,38779,2.33
F018000,元富期貨,0,2300,0,451,208,3507,0,10,0,0,671,7147,0,3598,0,366,576,6114,0,15,0,5,1216,11890,0,2946,0,328,515,4172,0,10,0,0,1205,9176,0,2927,0,301,383,5107,0,8,0,0,748,9474,0,11771,0,1446,1682,18900,0,43,0,5,3840,37687,2.25999999999999968
B224999,中國信託商業銀行自營,0,201,0,10,10,726,0,10,0,0,7786,8743,0,842,0,30,0,428,0,52,0,59,9285,10696,0,301,0,0,4,220,0,35,0,40,7754,8354,0,222,0,0,0,350,0,9,0,26,7671,8278,0,1566,0,40,14,1724,0,106,0,125,32496,36071,2.16
F034999,澳帝華期貨自營,0,2999,0,9,49,993,0,38,0,1,276,4365,0,7172,0,19,26,2318,0,145,0,82,973,10735,0,5340,0,18,30,2644,0,87,0,26,1674,9819,0,5724,0,12,3,1715,0,100,0,29,987,8570,0,21235,0,58,108,7670,0,370,0,138,3910,33489,2.00999999999999968
F030000,兆豐期貨,0,1310,0,200,328,2916,0,55,0,6,929,5744,0,2444,0,390,263,4690,0,29,0,1,802,8619,0,1614,0,247,260,2837,0,72,0,3,634,5667,0,2081,0,309,317,3151,0,44,4,0,596,6502,0,7449,0,1146,1168,13594,0,200,4,10,2961,26532,1.59
F014000,華南期貨,0,1334,0,188,157,1720,0,5,1,1,584,3990,0,2472,0,326,195,2521,0,0,0,7,516,6037,0,2105,0,332,423,2047,0,0,2,4,623,5536,0,2062,0,259,86,2297,0,0,1,0,3447,8152,0,7973,0,1105,861,8585,0,5,4,12,5170,23715,1.42
F005000,國票期貨,0,955,0,180,125,1470,0,0,4,1,772,3507,0,1884,0,197,303,2872,0,2,1,0,1142,6401,0,1690,0,185,312,1720,0,0,1,9,1553,5470,0,1696,0,150,135,2187,0,1,3,2,672,4846,0,6225,0,712,875,8249,0,3,9,12,4139,20224,1.21
S153000,港商德意志證券台北,0,87,0,49,0,1479,0,0,0,0,680,2295,0,632,0,133,120,5533,0,0,0,0,0,6418,0,303,0,204,0,5580,0,0,0,0,40,6127,0,313,0,118,2,3033,0,0,0,0,0,3466,0,1335,0,504,122,15625,0,0,0,0,720,18306,1.10000000000000016
F008999,統一期貨自營,0,1846,0,438,168,1254,0,0,0,0,0,3706,0,2782,0,359,228,2276,0,0,0,0,0,5645,0,1785,0,185,315,1335,0,0,0,0,0,3620,0,2399,0,198,48,710,0,0,0,0,0,3355,0,8812,0,1180,759,5575,0,0,0,0,0,16326,0.98
F021999,元大寶來期貨自營,0,382,0,76,42,1740,0,6,0,0,152,2398,0,1349,0,122,32,2651,0,6,0,0,527,4687,0,2050,0,173,32,2344,0,2,0,0,329,4930,0,1895,0,182,20,1840,0,2,0,0,352,4291,0,5676,0,553,126,8575,0,16,0,0,1360,16306,0.98
S538000,第一金證券,0,707,0,90,55,1960,0,0,2,0,231,3045,0,1187,0,81,132,2261,0,7,3,0,364,4035,0,1082,0,112,160,1874,0,0,4,3,282,3517,0,1149,0,119,78,2140,0,5,2,6,347,3846,0,4125,0,402,425,8235,0,12,11,9,1224,14443,0.87
S888999,國泰證券自營,0,94,0,210,56,916,0,71,0,0,1574,2921,0,211,0,176,41,1735,0,130,0,0,1924,4217,0,84,0,169,33,1869,0,122,0,0,1422,3699,0,77,0,197,33,880,0,87,0,0,1240,2514,0,466,0,752,163,5400,0,410,0,0,6160,13351,0.8
