期貨商代號,名稱,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計MSO,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20110601,,,,,,,,,20110602,,,,,,,,,20110603,,,,,,,,,20110607,,,,,,,,,20110608,,,,,,,,,20110609,,,,,,,,,20110610,,,,,,,,,20110613,,,,,,,,,20110614,,,,,,,,,20110615,,,,,,,,,20110616,,,,,,,,,20110617,,,,,,,,,20110620,,,,,,,,,20110621,,,,,,,,,20110622,,,,,,,,,20110623,,,,,,,,,20110624,,,,,,,,,20110627,,,,,,,,,20110628,,,,,,,,,20110629,,,,,,,,,20110630,,,,,,,,,99999999,,,,,,,,
S157999,香港商法國興業證券,0,13.00000000000000000,137017.0000000000000,27.00000000000000000,0,0,0,0,137057.0000000000000,19.00000000000000000,40.00000000000000000,115001.0000000000000,25.00000000000000000,0,0,0,0,115085.0000000000000,0,13.00000000000000000,107002.0000000000000,30.00000000000000000,0,0,0,0,107045.0000000000000,0,47.00000000000000000,118705.0000000000000,306.0000000000000000,0,0,0,0,119058.0000000000000,0,80.00000000000000000,131381.0000000000000,415.0000000000000000,0,0,0,0,131876.0000000000000,44.00000000000000000,64.00000000000000000,109898.0000000000000,280.0000000000000000,0,0,0,0,110286.0000000000000,940.000000000000000,1662.000000000000000,341415.0000000000000,26.00000000000000000,0,0,0,0,344043.0000000000000,0,1600.000000000000000,279568.0000000000000,13.00000000000000000,0,0,0,0,281181.0000000000000,0,0,212189.0000000000000,5.000000000000000000,0,0,0,0,212194.0000000000000,0,0,235887.0000000000000,8.000000000000000000,0,0,0,0,235895.0000000000000,40.00000000000000000,24.00000000000000000,107759.0000000000000,0,0,0,0,0,107823.0000000000000,0,0,80598.00000000000000,1.000000000000000000,0,0,0,0,80599.00000000000000,0,0,103127.0000000000000,0,0,0,0,0,103127.0000000000000,0,0,69459.00000000000000,0,0,0,0,0,69459.00000000000000,0,0,87929.00000000000000,0,0,0,0,0,87929.00000000000000,0,0,75251.00000000000000,5.000000000000000000,0,0,0,0,75256.00000000000000,0,0,66181.00000000000000,5.000000000000000000,0,0,0,0,66186.00000000000000,0,0,98301.0000000000000,0,0,0,0,0,98301.0000000000000,0,0,63657.00000000000000,0,0,0,0,0,63657.00000000000000,0,0,113365.0000000000000,20.00000000000000000,0,0,0,0,113385.0000000000000,0,0,76483.00000000000000,0,0,0,0,0,76483.00000000000000,1043.000000000000000,3543.000000000000000,2730173.000000000000,1166.000000000000000,0,0,0,0,2735925.000000000000,12.59000000000000000
S970999,寶來證券自營,155.0000000000000000,166.0000000000000000,138001.0000000000000,223.0000000000000000,0,1.000000000000000000,0,114.0000000000000000,138660.0000000000000,44.00000000000000000,248.0000000000000000,83286.00000000000000,211.0000000000000000,0,0,0,292.0000000000000000,84081.00000000000000,56.00000000000000000,135.0000000000000000,106168.0000000000000,375.0000000000000000,0,0,0,16.00000000000000000,106750.0000000000000,71.00000000000000000,161.0000000000000000,121947.0000000000000,179.0000000000000000,0,0,0,0,122358.0000000000000,32.00000000000000000,100.0000000000000000,126589.0000000000000,230.0000000000000000,0,0,0,80.00000000000000000,127031.0000000000000,1224.000000000000000,1300.000000000000000,101478.0000000000000,114.0000000000000000,0,0,33.00000000000000000,29.00000000000000000,104178.0000000000000,589.0000000000000000,846.0000000000000000,238406.0000000000000,91.00000000000000000,0,3.000000000000000000,11.00000000000000000,0,239946.0000000000000,511.0000000000000000,720.0000000000000000,220511.0000000000000,99.0000000000000000,0,0,22.00000000000000000,12.00000000000000000,221875.0000000000000,909.0000000000000000,851.0000000000000000,187470.0000000000000,45.00000000000000000,0,0,0,0,189275.0000000000000,63.00000000000000000,113.0000000000000000,247501.0000000000000,127.0000000000000000,0,0,0,10.00000000000000000,247814.0000000000000,153.0000000000000000,414.0000000000000000,100291.0000000000000,10.00000000000000000,0,0,23.00000000000000000,400.0000000000000000,101291.0000000000000,81.00000000000000000,335.0000000000000000,101753.0000000000000,53.00000000000000000,0,1.000000000000000000,26.00000000000000000,0,102249.0000000000000,67.00000000000000000,237.0000000000000000,110831.0000000000000,40.00000000000000000,0,4.000000000000000000,66.00000000000000000,80.00000000000000000,111325.0000000000000,198.0000000000000000,251.0000000000000000,77175.00000000000000,65.00000000000000000,0,0,0,14.00000000000000000,77703.00000000000000,127.0000000000000000,325.0000000000000000,88133.00000000000000,40.00000000000000000,0,0,0,156.0000000000000000,88781.00000000000000,23.00000000000000000,27.00000000000000000,79231.00000000000000,50.00000000000000000,0,7.000000000000000000,11.00000000000000000,27.00000000000000000,79376.00000000000000,31.00000000000000000,40.00000000000000000,68054.00000000000000,70.00000000000000000,0,0,0,0,68195.00000000000000,144.0000000000000000,216.0000000000000000,86105.00000000000000,76.00000000000000000,0,1.000000000000000000,23.00000000000000000,57.00000000000000000,86622.00000000000000,71.00000000000000000,65.00000000000000000,64693.00000000000000,65.00000000000000000,0,4.000000000000000000,0,4.000000000000000000,64902.00000000000000,210.0000000000000000,510.0000000000000000,100733.0000000000000,93.0000000000000000,0,5.000000000000000000,0,58.00000000000000000,101609.0000000000000,88.00000000000000000,233.0000000000000000,43338.00000000000000,35.00000000000000000,0,9.000000000000000000,1.000000000000000000,11.00000000000000000,43715.00000000000000,4847.000000000000000,7293.000000000000000,2491694.000000000000,2291.000000000000000,0,35.00000000000000000,216.0000000000000000,1360.000000000000000,2507736.000000000000,11.54000000000000000
F034999,澳帝華期貨自營,290.0000000000000000,919.0000000000000000,109176.0000000000000,295.0000000000000000,0,0,0,303.0000000000000000,110983.0000000000000,176.0000000000000000,485.0000000000000000,91926.00000000000000,154.0000000000000000,0,0,0,446.0000000000000000,93187.0000000000000,171.0000000000000000,383.0000000000000000,84542.00000000000000,119.0000000000000000,0,0,0,151.0000000000000000,85366.00000000000000,220.0000000000000000,387.0000000000000000,102931.0000000000000,92.00000000000000000,0,0,0,103.0000000000000000,103733.0000000000000,175.0000000000000000,766.0000000000000000,105427.0000000000000,40.00000000000000000,0,0,0,207.0000000000000000,106615.0000000000000,443.0000000000000000,502.0000000000000000,83242.00000000000000,123.0000000000000000,0,0,0,249.0000000000000000,84559.00000000000000,524.0000000000000000,546.0000000000000000,261651.0000000000000,110.0000000000000000,0,0,0,251.0000000000000000,263082.0000000000000,581.0000000000000000,1112.000000000000000,248081.0000000000000,106.0000000000000000,0,0,0,367.0000000000000000,250247.0000000000000,749.0000000000000000,734.0000000000000000,200628.0000000000000,124.0000000000000000,0,0,0,320.0000000000000000,202555.0000000000000,257.0000000000000000,413.0000000000000000,181029.0000000000000,356.0000000000000000,0,0,0,133.0000000000000000,182188.0000000000000,642.0000000000000000,738.0000000000000000,83023.00000000000000,181.0000000000000000,0,0,0,255.0000000000000000,84839.00000000000000,207.0000000000000000,159.0000000000000000,65220.00000000000000,112.0000000000000000,0,0,0,100.0000000000000000,65798.00000000000000,417.0000000000000000,275.0000000000000000,94595.0000000000000,168.0000000000000000,0,0,0,345.0000000000000000,95800.0000000000000,354.0000000000000000,441.0000000000000000,69589.00000000000000,58.00000000000000000,0,0,0,719.0000000000000000,71161.00000000000000,293.0000000000000000,512.0000000000000000,62391.00000000000000,91.00000000000000000,0,0,0,7.000000000000000000,63294.00000000000000,89.00000000000000000,81.00000000000000000,52787.00000000000000,93.0000000000000000,0,0,0,87.00000000000000000,53137.00000000000000,136.0000000000000000,167.0000000000000000,45143.00000000000000,79.00000000000000000,0,0,0,0,45525.00000000000000,266.0000000000000000,426.0000000000000000,98220.0000000000000,92.00000000000000000,0,0,0,11.00000000000000000,99015.0000000000000,545.0000000000000000,198.0000000000000000,63116.00000000000000,1.000000000000000000,0,0,0,15.00000000000000000,63875.00000000000000,654.0000000000000000,1025.000000000000000,104196.0000000000000,0,0,0,0,3.000000000000000000,105878.0000000000000,372.0000000000000000,243.0000000000000000,65320.00000000000000,24.00000000000000000,0,0,0,71.00000000000000000,66030.00000000000000,7561.000000000000000,10512.00000000000000,2272233.000000000000,2418.000000000000000,0,0,0,4143.000000000000000,2296867.000000000000,10.57000000000000000
F004000,凱基期貨,20.00000000000000000,30.00000000000000000,106305.0000000000000,20.00000000000000000,0,0,0,0,106375.0000000000000,1.000000000000000000,20.00000000000000000,55711.00000000000000,2.000000000000000000,0,0,0,3.000000000000000000,55737.00000000000000,11.00000000000000000,14.00000000000000000,78752.00000000000000,5.000000000000000000,0,0,0,6.000000000000000000,78788.00000000000000,3.000000000000000000,8.000000000000000000,57227.00000000000000,0,0,0,0,4.000000000000000000,57242.00000000000000,23.00000000000000000,5.000000000000000000,65584.00000000000000,5.000000000000000000,0,0,0,0,65617.00000000000000,10.00000000000000000,36.00000000000000000,38324.00000000000000,6.000000000000000000,0,0,0,0,38376.00000000000000,2.000000000000000000,27.00000000000000000,124073.0000000000000,3.000000000000000000,0,0,0,7.000000000000000000,124112.0000000000000,7.000000000000000000,22.00000000000000000,125252.0000000000000,7.000000000000000000,0,0,0,4.000000000000000000,125292.0000000000000,5.000000000000000000,25.00000000000000000,102563.0000000000000,3.000000000000000000,0,0,0,7.000000000000000000,102603.0000000000000,3.000000000000000000,47.00000000000000000,103745.0000000000000,20.00000000000000000,0,0,0,2.000000000000000000,103817.0000000000000,5.000000000000000000,13.00000000000000000,60604.00000000000000,2.000000000000000000,0,0,1.000000000000000000,2.000000000000000000,60627.00000000000000,10.00000000000000000,25.00000000000000000,48608.00000000000000,13.00000000000000000,0,0,0,2.000000000000000000,48658.00000000000000,0,15.00000000000000000,41181.00000000000000,2.000000000000000000,0,1.000000000000000000,0,3.000000000000000000,41202.00000000000000,1.000000000000000000,11.00000000000000000,39036.00000000000000,2.000000000000000000,0,0,0,20.00000000000000000,39070.00000000000000,10.00000000000000000,9.000000000000000000,33830.00000000000000,12.00000000000000000,0,0,0,11.00000000000000000,33872.00000000000000,3.000000000000000000,10.00000000000000000,26201.00000000000000,0,0,0,0,5.000000000000000000,26219.00000000000000,14.00000000000000000,7.000000000000000000,26249.00000000000000,14.00000000000000000,0,0,0,16.00000000000000000,26300.00000000000000,3.000000000000000000,10.00000000000000000,53793.00000000000000,6.000000000000000000,0,0,0,10.00000000000000000,53822.00000000000000,0,14.00000000000000000,36953.00000000000000,5.000000000000000000,0,0,0,3.000000000000000000,36975.00000000000000,16.00000000000000000,43.00000000000000000,82993.00000000000000,30.00000000000000000,0,0,0,13.00000000000000000,83095.00000000000000,4.000000000000000000,98.0000000000000000,54219.00000000000000,5.000000000000000000,0,0,0,2.000000000000000000,54328.00000000000000,151.0000000000000000,489.0000000000000000,1361203.000000000000,162.0000000000000000,0,1.000000000000000000,1.000000000000000000,120.0000000000000000,1362127.000000000000,6.270000000000000000
F002000,永豐期貨,34.00000000000000000,646.0000000000000000,60097.00000000000000,10.00000000000000000,0,0,0,11.00000000000000000,60798.00000000000000,8.000000000000000000,17.00000000000000000,58735.00000000000000,13.00000000000000000,0,0,0,1.000000000000000000,58774.00000000000000,26.00000000000000000,152.0000000000000000,43981.00000000000000,0,0,0,0,100.0000000000000000,44259.00000000000000,18.00000000000000000,73.00000000000000000,45958.00000000000000,39.00000000000000000,0,0,0,1.000000000000000000,46089.00000000000000,5.000000000000000000,88.00000000000000000,47658.00000000000000,0,0,0,0,100.0000000000000000,47851.00000000000000,13.00000000000000000,33.00000000000000000,36388.00000000000000,0,0,0,0,2.000000000000000000,36436.00000000000000,134.0000000000000000,248.0000000000000000,110368.0000000000000,23.00000000000000000,0,4.000000000000000000,0,101.0000000000000000,110878.0000000000000,18.00000000000000000,58.00000000000000000,100260.0000000000000,51.00000000000000000,0,0,0,50.00000000000000000,100437.0000000000000,2.000000000000000000,129.0000000000000000,91020.00000000000000,1.000000000000000000,0,0,0,101.0000000000000000,91253.00000000000000,32.00000000000000000,61.00000000000000000,103608.0000000000000,29.00000000000000000,0,0,0,53.00000000000000000,103783.0000000000000,21.00000000000000000,95.0000000000000000,53041.00000000000000,55.00000000000000000,0,0,0,2.000000000000000000,53214.00000000000000,1.000000000000000000,43.00000000000000000,45980.00000000000000,20.00000000000000000,0,1.000000000000000000,0,13.00000000000000000,46058.00000000000000,14.00000000000000000,7.000000000000000000,46282.00000000000000,6.000000000000000000,0,3.000000000000000000,0,0,46312.00000000000000,0,82.00000000000000000,38463.00000000000000,5.000000000000000000,0,0,0,7.000000000000000000,38557.00000000000000,0,27.00000000000000000,61421.00000000000000,25.00000000000000000,0,0,0,0,61473.00000000000000,0,8.000000000000000000,37800.00000000000000,5.000000000000000000,0,1.000000000000000000,0,0,37814.00000000000000,0,54.00000000000000000,44982.00000000000000,9.000000000000000000,0,0,0,0,45045.00000000000000,22.00000000000000000,68.00000000000000000,63450.00000000000000,41.00000000000000000,0,1.000000000000000000,0,29.00000000000000000,63611.00000000000000,0,28.00000000000000000,34481.00000000000000,1.000000000000000000,0,1.000000000000000000,0,4.000000000000000000,34515.00000000000000,0,271.0000000000000000,60808.00000000000000,0,0,4.000000000000000000,0,17.00000000000000000,61100.00000000000000,0,59.00000000000000000,67033.00000000000000,15.00000000000000000,0,1.000000000000000000,0,2.000000000000000000,67110.00000000000000,348.0000000000000000,2247.000000000000000,1251814.000000000000,348.0000000000000000,0,16.00000000000000000,0,594.0000000000000000,1255367.000000000000,5.780000000000000000
F006000,元大期貨,186.0000000000000000,14.00000000000000000,72010.00000000000000,3.000000000000000000,0,0,0,2.000000000000000000,72215.00000000000000,3.000000000000000000,48.00000000000000000,56589.00000000000000,2.000000000000000000,0,0,0,3.000000000000000000,56645.00000000000000,2.000000000000000000,27.00000000000000000,56052.00000000000000,2.000000000000000000,0,0,0,0,56083.00000000000000,13.00000000000000000,6.000000000000000000,48871.00000000000000,4.000000000000000000,0,0,0,2.000000000000000000,48896.00000000000000,4.000000000000000000,5.000000000000000000,41745.00000000000000,0,0,0,0,1.000000000000000000,41755.00000000000000,207.0000000000000000,3.000000000000000000,34210.00000000000000,11.00000000000000000,0,0,0,0,34431.00000000000000,126.0000000000000000,95.0000000000000000,93082.0000000000000,3.000000000000000000,0,0,0,2.000000000000000000,93308.0000000000000,298.0000000000000000,1.000000000000000000,97995.0000000000000,6.000000000000000000,0,0,0,3.000000000000000000,98303.0000000000000,355.0000000000000000,2.000000000000000000,75873.00000000000000,0,0,0,0,0,76230.00000000000000,28.00000000000000000,49.00000000000000000,93657.0000000000000,2.000000000000000000,0,0,0,1.000000000000000000,93737.0000000000000,81.00000000000000000,11.00000000000000000,61203.00000000000000,12.00000000000000000,0,0,0,1.000000000000000000,61308.00000000000000,5.000000000000000000,46.00000000000000000,44160.00000000000000,2.000000000000000000,0,0,0,16.00000000000000000,44229.00000000000000,2.000000000000000000,30.00000000000000000,39758.00000000000000,6.000000000000000000,0,0,0,3.000000000000000000,39799.00000000000000,1.000000000000000000,3.000000000000000000,28544.00000000000000,11.00000000000000000,0,0,0,21.00000000000000000,28580.00000000000000,3.000000000000000000,34.00000000000000000,29482.00000000000000,10.00000000000000000,0,0,0,7.000000000000000000,29536.00000000000000,0,15.00000000000000000,27510.00000000000000,1.000000000000000000,0,0,0,3.000000000000000000,27529.00000000000000,6.000000000000000000,5.000000000000000000,34844.00000000000000,7.000000000000000000,0,0,0,2.000000000000000000,34864.00000000000000,2.000000000000000000,4.000000000000000000,51381.00000000000000,1.000000000000000000,0,0,0,19.00000000000000000,51407.00000000000000,5.000000000000000000,7.000000000000000000,28752.00000000000000,2.000000000000000000,0,0,0,1.000000000000000000,28767.00000000000000,0,32.00000000000000000,51629.00000000000000,0,0,0,0,4.000000000000000000,51665.00000000000000,1.000000000000000000,42.00000000000000000,24878.00000000000000,8.000000000000000000,0,0,0,1.000000000000000000,24930.00000000000000,1328.000000000000000,479.0000000000000000,1092225.000000000000,93.0000000000000000,0,0,0,92.00000000000000000,1094217.000000000000,5.030000000000000000
S585999,統一證券自營,0,81.00000000000000000,34690.00000000000000,0,0,0,0,0,34771.00000000000000,0,250.0000000000000000,33065.00000000000000,0,0,0,0,0,33315.00000000000000,0,20.00000000000000000,31127.00000000000000,0,0,0,0,0,31147.00000000000000,0,5.000000000000000000,48718.00000000000000,0,0,0,0,0,48723.00000000000000,0,0,28647.00000000000000,0,0,0,0,0,28647.00000000000000,0,0,47207.00000000000000,0,0,0,0,0,47207.00000000000000,6.000000000000000000,22.00000000000000000,111274.0000000000000,0,0,0,0,0,111302.0000000000000,64.00000000000000000,91.00000000000000000,92662.0000000000000,0,0,0,0,0,92817.0000000000000,51.00000000000000000,0,158530.0000000000000,0,0,0,0,0,158581.0000000000000,0,0,88293.00000000000000,0,0,0,0,0,88293.00000000000000,0,0,7977.000000000000000,0,0,0,0,0,7977.000000000000000,0,0,8424.000000000000000,0,0,0,0,0,8424.000000000000000,0,0,12601.00000000000000,0,0,0,0,0,12601.00000000000000,0,0,19198.00000000000000,0,0,0,0,0,19198.00000000000000,165.0000000000000000,180.0000000000000000,12107.00000000000000,0,0,0,0,0,12452.00000000000000,2.000000000000000000,0,10827.00000000000000,0,0,0,0,0,10829.00000000000000,0,0,34271.00000000000000,0,0,0,0,0,34271.00000000000000,0,25.00000000000000000,44528.00000000000000,0,0,0,0,0,44553.00000000000000,20.00000000000000000,54.00000000000000000,18710.00000000000000,0,0,0,0,0,18784.00000000000000,302.0000000000000000,40.00000000000000000,57462.00000000000000,0,0,0,0,0,57804.00000000000000,246.0000000000000000,10.00000000000000000,28244.00000000000000,0,0,0,0,0,28500.00000000000000,856.0000000000000000,778.0000000000000000,928562.000000000000,0,0,0,0,0,930196.000000000000,4.280000000000000000
F021000,寶來曼氏期貨,6.000000000000000000,54.00000000000000000,47627.00000000000000,43.00000000000000000,0,1.000000000000000000,0,47.00000000000000000,47778.00000000000000,8.000000000000000000,22.00000000000000000,26544.00000000000000,31.00000000000000000,0,0,0,43.00000000000000000,26648.00000000000000,0,15.00000000000000000,34922.00000000000000,2.000000000000000000,0,0,14.00000000000000000,32.00000000000000000,34985.00000000000000,0,9.000000000000000000,38452.00000000000000,1.000000000000000000,0,0,8.000000000000000000,40.00000000000000000,38510.00000000000000,1.000000000000000000,18.00000000000000000,31173.00000000000000,0,0,0,0,14.00000000000000000,31206.00000000000000,0,243.0000000000000000,26361.00000000000000,6.000000000000000000,0,0,0,3.000000000000000000,26613.00000000000000,9.000000000000000000,223.0000000000000000,102192.0000000000000,1.000000000000000000,0,6.000000000000000000,0,53.00000000000000000,102484.0000000000000,55.00000000000000000,18.00000000000000000,84565.00000000000000,5.000000000000000000,0,6.000000000000000000,0,25.00000000000000000,84674.00000000000000,6.000000000000000000,6.000000000000000000,63951.00000000000000,2.000000000000000000,0,0,0,3.000000000000000000,63968.00000000000000,30.00000000000000000,18.00000000000000000,71716.00000000000000,4.000000000000000000,0,0,0,26.00000000000000000,71794.00000000000000,17.00000000000000000,10.00000000000000000,29568.00000000000000,2.000000000000000000,0,0,12.00000000000000000,6.000000000000000000,29615.00000000000000,22.00000000000000000,6.000000000000000000,36904.00000000000000,3.000000000000000000,0,0,0,3.000000000000000000,36938.00000000000000,12.00000000000000000,8.000000000000000000,37655.00000000000000,15.00000000000000000,0,0,0,39.00000000000000000,37729.00000000000000,1.000000000000000000,7.000000000000000000,32469.00000000000000,5.000000000000000000,0,0,0,4.000000000000000000,32486.00000000000000,1.000000000000000000,17.00000000000000000,27891.00000000000000,6.000000000000000000,0,0,0,3.000000000000000000,27918.00000000000000,13.00000000000000000,17.00000000000000000,23452.00000000000000,11.00000000000000000,0,0,0,6.000000000000000000,23499.00000000000000,3.000000000000000000,16.00000000000000000,28393.00000000000000,2.000000000000000000,0,0,0,6.000000000000000000,28420.00000000000000,22.00000000000000000,26.00000000000000000,40999.00000000000000,0,0,0,1.000000000000000000,9.000000000000000000,41057.00000000000000,3.000000000000000000,15.00000000000000000,25414.00000000000000,0,0,0,0,39.00000000000000000,25471.00000000000000,3.000000000000000000,51.00000000000000000,57350.00000000000000,0,0,0,0,7.000000000000000000,57411.00000000000000,0,67.00000000000000000,35904.00000000000000,0,0,0,1.000000000000000000,6.000000000000000000,35978.00000000000000,212.0000000000000000,866.0000000000000000,903502.0000000000000,139.0000000000000000,0,13.00000000000000000,36.00000000000000000,414.0000000000000000,905182.0000000000000,4.160000000000000000
F020000,群益期貨,3.000000000000000000,12.00000000000000000,40202.00000000000000,24.00000000000000000,0,0,0,92.00000000000000000,40333.00000000000000,8.000000000000000000,5.000000000000000000,31437.00000000000000,34.00000000000000000,0,0,0,60.00000000000000000,31544.00000000000000,3.000000000000000000,9.000000000000000000,49787.00000000000000,11.00000000000000000,0,0,0,37.00000000000000000,49847.00000000000000,10.00000000000000000,22.00000000000000000,42121.00000000000000,17.00000000000000000,0,0,0,7.000000000000000000,42177.00000000000000,8.000000000000000000,11.00000000000000000,36759.00000000000000,16.00000000000000000,0,0,0,56.00000000000000000,36850.00000000000000,0,8.000000000000000000,31576.00000000000000,0,0,0,0,85.00000000000000000,31669.00000000000000,23.00000000000000000,6.000000000000000000,84884.00000000000000,24.00000000000000000,0,0,0,63.00000000000000000,85000.00000000000000,27.00000000000000000,26.00000000000000000,64412.00000000000000,10.00000000000000000,0,0,0,338.0000000000000000,64813.00000000000000,59.00000000000000000,30.00000000000000000,54696.00000000000000,12.00000000000000000,0,0,0,82.00000000000000000,54879.00000000000000,89.00000000000000000,38.00000000000000000,84888.00000000000000,44.00000000000000000,0,0,0,109.0000000000000000,85168.00000000000000,4.000000000000000000,12.00000000000000000,42472.00000000000000,2.000000000000000000,0,0,0,171.0000000000000000,42661.00000000000000,10.00000000000000000,11.00000000000000000,24614.00000000000000,19.00000000000000000,0,0,0,79.00000000000000000,24733.00000000000000,35.00000000000000000,14.00000000000000000,43087.00000000000000,18.00000000000000000,0,0,0,124.0000000000000000,43278.00000000000000,1.000000000000000000,93.0000000000000000,34634.00000000000000,0,0,0,0,667.0000000000000000,35395.00000000000000,1.000000000000000000,108.0000000000000000,29529.00000000000000,10.00000000000000000,0,0,0,34.00000000000000000,29682.00000000000000,0,28.00000000000000000,30240.00000000000000,62.00000000000000000,0,6.000000000000000000,0,0,30336.00000000000000,3.000000000000000000,20.00000000000000000,23798.00000000000000,0,0,0,0,3.000000000000000000,23824.00000000000000,17.00000000000000000,19.00000000000000000,39730.00000000000000,50.00000000000000000,0,0,0,17.00000000000000000,39833.00000000000000,12.00000000000000000,9.000000000000000000,30318.00000000000000,10.00000000000000000,0,0,0,66.00000000000000000,30415.00000000000000,26.00000000000000000,29.00000000000000000,32524.00000000000000,41.00000000000000000,0,0,0,21.00000000000000000,32641.00000000000000,3.000000000000000000,42.00000000000000000,24528.00000000000000,16.00000000000000000,0,6.000000000000000000,0,80.00000000000000000,24675.00000000000000,342.0000000000000000,552.0000000000000000,876236.0000000000000,420.0000000000000000,0,12.00000000000000000,0,2191.000000000000000,879753.0000000000000,4.050000000000000000
