期貨商代號,名稱,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,MSO,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計MSO,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20110801,,,,,,,,,20110802,,,,,,,,,20110803,,,,,,,,,20110804,,,,,,,,,20110805,,,,,,,,,20110808,,,,,,,,,20110809,,,,,,,,,20110810,,,,,,,,,20110811,,,,,,,,,20110812,,,,,,,,,20110815,,,,,,,,,20110816,,,,,,,,,20110817,,,,,,,,,20110818,,,,,,,,,20110819,,,,,,,,,20110822,,,,,,,,,20110823,,,,,,,,,20110824,,,,,,,,,20110825,,,,,,,,,20110826,,,,,,,,,20110829,,,,,,,,,20110830,,,,,,,,,20110831,,,,,,,,,99999999,,,,,,,,
F034999,澳帝華期貨自營,326.0000000000000000,629.0000000000000000,73915.00000000000000,99.0000000000000000,0,0,0,334.0000000000000000,75303.00000000000000,444.0000000000000000,550.0000000000000000,83005.00000000000000,61.00000000000000000,0,0,0,118.0000000000000000,84178.00000000000000,221.0000000000000000,754.0000000000000000,145740.0000000000000,168.0000000000000000,0,0,0,654.0000000000000000,147537.0000000000000,413.0000000000000000,1443.000000000000000,141702.0000000000000,127.0000000000000000,0,0,0,273.0000000000000000,143958.0000000000000,661.0000000000000000,1528.000000000000000,453107.0000000000000,0,0,0,0,685.0000000000000000,455981.0000000000000,509.0000000000000000,1704.000000000000000,472028.0000000000000,170.0000000000000000,0,0,0,343.0000000000000000,474754.0000000000000,418.0000000000000000,3022.000000000000000,319518.0000000000000,58.00000000000000000,0,0,0,1059.000000000000000,324075.0000000000000,505.0000000000000000,1815.000000000000000,114100.0000000000000,123.0000000000000000,0,0,0,1008.000000000000000,117551.0000000000000,847.0000000000000000,1734.000000000000000,183511.0000000000000,295.0000000000000000,0,0,0,688.0000000000000000,187075.0000000000000,528.0000000000000000,1956.000000000000000,136460.0000000000000,227.0000000000000000,0,0,0,677.0000000000000000,139848.0000000000000,294.0000000000000000,883.0000000000000000,103970.0000000000000,172.0000000000000000,0,0,0,265.0000000000000000,105584.0000000000000,385.0000000000000000,582.0000000000000000,118787.0000000000000,257.0000000000000000,0,0,0,546.0000000000000000,120557.0000000000000,540.0000000000000000,753.0000000000000000,144897.0000000000000,258.0000000000000000,0,0,0,174.0000000000000000,146622.0000000000000,538.0000000000000000,1076.000000000000000,73660.00000000000000,88.00000000000000000,0,0,0,123.0000000000000000,75485.00000000000000,454.0000000000000000,1299.000000000000000,190635.0000000000000,74.00000000000000000,0,0,0,753.0000000000000000,193215.0000000000000,1374.000000000000000,1298.000000000000000,139350.0000000000000,303.0000000000000000,0,0,0,828.0000000000000000,143153.0000000000000,756.0000000000000000,785.0000000000000000,107065.0000000000000,161.0000000000000000,0,0,0,601.0000000000000000,109368.0000000000000,1474.000000000000000,844.0000000000000000,130473.0000000000000,116.0000000000000000,0,0,0,309.0000000000000000,133216.0000000000000,730.0000000000000000,380.0000000000000000,116009.0000000000000,132.0000000000000000,0,0,0,327.0000000000000000,117578.0000000000000,1540.000000000000000,1411.000000000000000,111791.0000000000000,96.0000000000000000,0,0,0,207.0000000000000000,115045.0000000000000,1102.000000000000000,269.0000000000000000,118864.0000000000000,123.0000000000000000,0,0,0,147.0000000000000000,120505.0000000000000,391.0000000000000000,241.0000000000000000,115960.0000000000000,340.0000000000000000,0,0,0,42.00000000000000000,116974.0000000000000,396.0000000000000000,719.0000000000000000,110852.0000000000000,110.0000000000000000,0,0,0,173.0000000000000000,112250.0000000000000,14846.00000000000000,25675.00000000000000,3705399.000000000000,3558.000000000000000,0,0,0,10334.00000000000000,3759812.000000000000,13.09000000000000000
S157999,香港商法國興業證券,0,86.00000000000000000,99556.0000000000000,10.00000000000000000,0,0,0,0,99652.0000000000000,47.00000000000000000,37.00000000000000000,124812.0000000000000,184.0000000000000000,0,0,0,0,125080.0000000000000,2.000000000000000000,2.000000000000000000,165849.0000000000000,171.0000000000000000,0,0,0,0,166024.0000000000000,174.0000000000000000,39.00000000000000000,194860.0000000000000,28.00000000000000000,0,0,0,0,195101.0000000000000,0,0,492405.0000000000000,150.0000000000000000,0,0,0,0,492555.0000000000000,160.0000000000000000,380.0000000000000000,554612.0000000000000,49.00000000000000000,0,0,0,0,555201.0000000000000,60.00000000000000000,60.00000000000000000,197208.0000000000000,80.00000000000000000,0,0,0,0,197408.0000000000000,253.0000000000000000,333.0000000000000000,109696.0000000000000,380.0000000000000000,0,0,0,0,110662.0000000000000,1180.000000000000000,120.0000000000000000,173590.0000000000000,40.00000000000000000,0,0,0,0,174930.0000000000000,0,850.0000000000000000,173704.0000000000000,75.00000000000000000,0,0,0,0,174629.0000000000000,400.0000000000000000,0,95031.0000000000000,50.00000000000000000,0,0,0,0,95481.0000000000000,0,0,167063.0000000000000,97.0000000000000000,0,0,0,0,167160.0000000000000,40.00000000000000000,0,160414.0000000000000,50.00000000000000000,0,0,0,0,160504.0000000000000,160.0000000000000000,248.0000000000000000,57321.00000000000000,0,0,0,0,0,57729.00000000000000,0,68.00000000000000000,90629.00000000000000,30.00000000000000000,0,0,0,0,90727.00000000000000,0,0,125979.0000000000000,0,0,0,0,0,125979.0000000000000,216.0000000000000000,452.0000000000000000,83789.00000000000000,20.00000000000000000,0,0,0,0,84477.00000000000000,547.0000000000000000,368.0000000000000000,95856.0000000000000,25.00000000000000000,0,0,0,0,96796.0000000000000,21.00000000000000000,92.00000000000000000,79664.00000000000000,0,0,0,0,0,79777.00000000000000,0,0,79428.00000000000000,5.000000000000000000,0,0,0,0,79433.00000000000000,0,0,69089.00000000000000,15.00000000000000000,0,0,0,0,69104.00000000000000,1.000000000000000000,24.00000000000000000,56460.00000000000000,5.000000000000000000,0,0,0,0,56490.00000000000000,0,40.00000000000000000,78680.00000000000000,2.000000000000000000,0,0,0,0,78722.00000000000000,3261.000000000000000,3199.000000000000000,3525695.000000000000,1466.000000000000000,0,0,0,0,3533621.000000000000,12.31000000000000000
S970999,寶來證券自營,171.0000000000000000,353.0000000000000000,70340.00000000000000,110.0000000000000000,0,0,0,261.0000000000000000,71235.00000000000000,21.00000000000000000,186.0000000000000000,103433.0000000000000,132.0000000000000000,0,0,0,180.0000000000000000,103952.0000000000000,107.0000000000000000,292.0000000000000000,114356.0000000000000,10.00000000000000000,0,0,0,242.0000000000000000,115007.0000000000000,373.0000000000000000,782.0000000000000000,110046.0000000000000,253.0000000000000000,0,0,0,69.00000000000000000,111523.0000000000000,224.0000000000000000,824.0000000000000000,66681.00000000000000,0,0,0,0,120.0000000000000000,67849.00000000000000,320.0000000000000000,401.0000000000000000,100797.0000000000000,0,0,0,0,41.00000000000000000,101559.0000000000000,116.0000000000000000,1637.000000000000000,45976.00000000000000,0,0,0,0,210.0000000000000000,47939.00000000000000,378.0000000000000000,665.0000000000000000,101502.0000000000000,151.0000000000000000,0,0,0,233.0000000000000000,102929.0000000000000,504.0000000000000000,705.0000000000000000,100590.0000000000000,0,0,0,0,81.00000000000000000,101880.0000000000000,219.0000000000000000,468.0000000000000000,100119.0000000000000,155.0000000000000000,0,0,0,316.0000000000000000,101277.0000000000000,42.00000000000000000,128.0000000000000000,81897.00000000000000,146.0000000000000000,0,0,0,113.0000000000000000,82326.00000000000000,840.0000000000000000,114.0000000000000000,122597.0000000000000,259.0000000000000000,0,0,0,94.0000000000000000,123904.0000000000000,48.00000000000000000,129.0000000000000000,134621.0000000000000,235.0000000000000000,0,0,0,74.00000000000000000,135107.0000000000000,291.0000000000000000,888.0000000000000000,82944.00000000000000,113.0000000000000000,0,0,0,59.00000000000000000,84295.00000000000000,102.0000000000000000,850.0000000000000000,68954.00000000000000,15.00000000000000000,0,0,0,264.0000000000000000,70185.00000000000000,462.0000000000000000,671.0000000000000000,70041.00000000000000,101.0000000000000000,0,0,0,132.0000000000000000,71407.00000000000000,496.0000000000000000,758.0000000000000000,75335.00000000000000,25.00000000000000000,0,0,0,190.0000000000000000,76804.00000000000000,760.0000000000000000,608.0000000000000000,67824.00000000000000,86.00000000000000000,0,0,0,68.00000000000000000,69346.00000000000000,391.0000000000000000,268.0000000000000000,63450.00000000000000,96.0000000000000000,0,0,0,174.0000000000000000,64379.00000000000000,1040.000000000000000,394.0000000000000000,54400.00000000000000,80.00000000000000000,0,0,0,28.00000000000000000,55942.00000000000000,242.0000000000000000,268.0000000000000000,34682.00000000000000,40.00000000000000000,0,0,0,20.00000000000000000,35252.00000000000000,229.0000000000000000,159.0000000000000000,53099.00000000000000,45.00000000000000000,0,0,0,22.00000000000000000,53554.00000000000000,158.0000000000000000,348.0000000000000000,51092.00000000000000,35.00000000000000000,0,0,0,21.00000000000000000,51654.00000000000000,7534.000000000000000,11896.00000000000000,1874776.000000000000,2087.000000000000000,0,0,0,3012.000000000000000,1899305.000000000000,6.610000000000000000
F021000,寶來曼氏期貨,4.000000000000000000,240.0000000000000000,37342.00000000000000,0,0,0,6.000000000000000000,129.0000000000000000,37721.00000000000000,4.000000000000000000,94.0000000000000000,45312.00000000000000,1.000000000000000000,0,0,0,37.00000000000000000,45448.00000000000000,9.000000000000000000,65.00000000000000000,77217.00000000000000,2.000000000000000000,0,0,2.000000000000000000,219.0000000000000000,77514.00000000000000,27.00000000000000000,246.0000000000000000,68517.00000000000000,0,0,0,0,56.00000000000000000,68846.00000000000000,20.00000000000000000,111.0000000000000000,157342.0000000000000,0,0,0,0,204.0000000000000000,157677.0000000000000,14.00000000000000000,39.00000000000000000,162431.0000000000000,1.000000000000000000,0,0,0,168.0000000000000000,162653.0000000000000,20.00000000000000000,132.0000000000000000,139874.0000000000000,4.000000000000000000,0,0,0,212.0000000000000000,140242.0000000000000,5.000000000000000000,44.00000000000000000,78180.00000000000000,7.000000000000000000,0,0,0,378.0000000000000000,78614.00000000000000,11.00000000000000000,33.00000000000000000,124958.0000000000000,0,0,0,0,192.0000000000000000,125194.0000000000000,23.00000000000000000,27.00000000000000000,75152.00000000000000,3.000000000000000000,0,0,0,274.0000000000000000,75479.00000000000000,10.00000000000000000,3.000000000000000000,63574.00000000000000,0,0,0,0,203.0000000000000000,63790.00000000000000,12.00000000000000000,11.00000000000000000,52335.00000000000000,0,0,0,0,413.0000000000000000,52771.00000000000000,20.00000000000000000,17.00000000000000000,50579.00000000000000,2.000000000000000000,0,0,0,198.0000000000000000,50816.00000000000000,35.00000000000000000,30.00000000000000000,33064.00000000000000,3.000000000000000000,0,0,0,53.00000000000000000,33185.00000000000000,20.00000000000000000,16.00000000000000000,82242.00000000000000,1.000000000000000000,0,0,0,270.0000000000000000,82549.00000000000000,7.000000000000000000,37.00000000000000000,47707.00000000000000,9.000000000000000000,0,0,6.000000000000000000,284.0000000000000000,48050.00000000000000,47.00000000000000000,62.00000000000000000,56087.00000000000000,1.000000000000000000,0,0,0,365.0000000000000000,56562.00000000000000,15.00000000000000000,20.00000000000000000,40321.00000000000000,3.000000000000000000,0,0,0,191.0000000000000000,40550.00000000000000,14.00000000000000000,8.000000000000000000,61222.00000000000000,2.000000000000000000,0,0,12.00000000000000000,284.0000000000000000,61542.00000000000000,18.00000000000000000,7.000000000000000000,49884.00000000000000,0,0,0,0,206.0000000000000000,50115.00000000000000,37.00000000000000000,12.00000000000000000,44012.00000000000000,3.000000000000000000,0,0,0,103.0000000000000000,44167.00000000000000,3.000000000000000000,7.000000000000000000,58907.00000000000000,6.000000000000000000,0,0,0,128.0000000000000000,59051.00000000000000,23.00000000000000000,9.000000000000000000,42392.00000000000000,5.000000000000000000,0,0,2.000000000000000000,34.00000000000000000,42465.00000000000000,398.0000000000000000,1270.000000000000000,1648651.000000000000,53.00000000000000000,0,0,28.00000000000000000,4601.000000000000000,1655001.000000000000,5.760000000000000000
F004000,凱基期貨,24.00000000000000000,365.0000000000000000,46335.00000000000000,12.00000000000000000,0,0,0,24.00000000000000000,46760.00000000000000,55.00000000000000000,88.00000000000000000,68602.00000000000000,14.00000000000000000,0,0,0,5.000000000000000000,68764.00000000000000,6.000000000000000000,35.00000000000000000,95469.0000000000000,9.000000000000000000,0,0,0,36.00000000000000000,95555.0000000000000,9.000000000000000000,96.0000000000000000,96952.0000000000000,26.00000000000000000,0,0,0,12.00000000000000000,97095.0000000000000,9.000000000000000000,113.0000000000000000,152402.0000000000000,2.000000000000000000,0,0,0,9.000000000000000000,152535.0000000000000,43.00000000000000000,178.0000000000000000,178464.0000000000000,5.000000000000000000,0,0,0,23.00000000000000000,178713.0000000000000,9.000000000000000000,83.00000000000000000,106356.0000000000000,10.00000000000000000,0,0,0,16.00000000000000000,106474.0000000000000,1.000000000000000000,56.00000000000000000,55194.00000000000000,9.000000000000000000,0,0,0,34.00000000000000000,55294.00000000000000,26.00000000000000000,76.00000000000000000,77663.00000000000000,22.00000000000000000,0,0,0,46.00000000000000000,77833.00000000000000,24.00000000000000000,125.0000000000000000,57376.00000000000000,19.00000000000000000,0,0,0,47.00000000000000000,57591.00000000000000,80.00000000000000000,83.00000000000000000,58169.00000000000000,5.000000000000000000,0,0,0,23.00000000000000000,58360.00000000000000,80.00000000000000000,48.00000000000000000,53571.00000000000000,4.000000000000000000,0,0,0,35.00000000000000000,53738.00000000000000,0,11.00000000000000000,56928.00000000000000,4.000000000000000000,0,0,0,51.00000000000000000,56994.00000000000000,40.00000000000000000,63.00000000000000000,30041.00000000000000,6.000000000000000000,0,0,0,24.00000000000000000,30174.00000000000000,50.00000000000000000,64.00000000000000000,46779.00000000000000,4.000000000000000000,0,0,0,102.0000000000000000,46999.00000000000000,8.000000000000000000,60.00000000000000000,46982.00000000000000,13.00000000000000000,0,0,0,60.00000000000000000,47123.00000000000000,18.00000000000000000,22.00000000000000000,42229.00000000000000,3.000000000000000000,0,0,0,81.00000000000000000,42353.00000000000000,5.000000000000000000,4.000000000000000000,38021.00000000000000,3.000000000000000000,0,0,0,8.000000000000000000,38041.00000000000000,21.00000000000000000,11.00000000000000000,35619.00000000000000,21.00000000000000000,0,0,0,97.0000000000000000,35769.00000000000000,3.000000000000000000,1.000000000000000000,38431.00000000000000,19.00000000000000000,0,0,0,136.0000000000000000,38590.00000000000000,150.0000000000000000,5.000000000000000000,37772.00000000000000,2.000000000000000000,0,0,0,6.000000000000000000,37935.00000000000000,5.000000000000000000,23.00000000000000000,30782.00000000000000,9.000000000000000000,0,0,0,3.000000000000000000,30822.00000000000000,8.000000000000000000,134.0000000000000000,29823.00000000000000,26.00000000000000000,0,0,0,61.00000000000000000,30052.00000000000000,674.0000000000000000,1744.000000000000000,1479960.000000000000,247.0000000000000000,0,0,0,939.000000000000000,1483564.000000000000,5.170000000000000000
F006000,元大期貨,15.00000000000000000,39.00000000000000000,40220.00000000000000,1.000000000000000000,0,0,0,8.000000000000000000,40283.00000000000000,35.00000000000000000,27.00000000000000000,44362.00000000000000,3.000000000000000000,0,0,0,1.000000000000000000,44428.00000000000000,29.00000000000000000,43.00000000000000000,98784.0000000000000,8.000000000000000000,0,0,0,18.00000000000000000,98882.0000000000000,50.00000000000000000,53.00000000000000000,66186.00000000000000,5.000000000000000000,0,0,0,4.000000000000000000,66298.00000000000000,28.00000000000000000,83.00000000000000000,159864.0000000000000,0,0,0,0,28.00000000000000000,160003.0000000000000,6.000000000000000000,28.00000000000000000,181149.0000000000000,8.000000000000000000,0,0,0,19.00000000000000000,181210.0000000000000,12.00000000000000000,69.00000000000000000,101610.0000000000000,0,0,0,0,27.00000000000000000,101718.0000000000000,1.000000000000000000,8.000000000000000000,69928.00000000000000,3.000000000000000000,0,0,0,11.00000000000000000,69951.00000000000000,3.000000000000000000,11.00000000000000000,66066.00000000000000,0,0,0,0,42.00000000000000000,66122.00000000000000,0,5.000000000000000000,57774.00000000000000,0,0,0,0,39.00000000000000000,57818.00000000000000,0,3.000000000000000000,42808.00000000000000,2.000000000000000000,0,0,0,14.00000000000000000,42827.00000000000000,1.000000000000000000,2.000000000000000000,43187.00000000000000,1.000000000000000000,0,0,0,19.00000000000000000,43210.00000000000000,62.00000000000000000,107.0000000000000000,45742.00000000000000,0,0,0,0,32.00000000000000000,45943.00000000000000,11.00000000000000000,10.00000000000000000,33256.00000000000000,4.000000000000000000,0,0,0,10.00000000000000000,33291.00000000000000,18.00000000000000000,45.00000000000000000,51593.00000000000000,0,0,0,0,17.00000000000000000,51673.00000000000000,5.000000000000000000,37.00000000000000000,41857.00000000000000,6.000000000000000000,0,0,0,24.00000000000000000,41929.00000000000000,17.00000000000000000,1.000000000000000000,49649.00000000000000,2.000000000000000000,0,0,0,61.00000000000000000,49730.00000000000000,1.000000000000000000,2.000000000000000000,44619.00000000000000,1.000000000000000000,0,0,0,22.00000000000000000,44645.00000000000000,42.00000000000000000,30.00000000000000000,33756.00000000000000,1.000000000000000000,0,0,0,29.00000000000000000,33858.00000000000000,4.000000000000000000,29.00000000000000000,31123.00000000000000,1.000000000000000000,0,0,0,9.000000000000000000,31166.00000000000000,52.00000000000000000,14.00000000000000000,36719.00000000000000,0,0,0,0,14.00000000000000000,36799.00000000000000,45.00000000000000000,7.000000000000000000,30902.00000000000000,5.000000000000000000,0,0,0,2.000000000000000000,30961.00000000000000,15.00000000000000000,6.000000000000000000,36397.00000000000000,1.000000000000000000,0,0,0,4.000000000000000000,36423.00000000000000,452.0000000000000000,659.0000000000000000,1407551.000000000000,52.00000000000000000,0,0,0,454.0000000000000000,1409168.000000000000,4.910000000000000000
S551999,永豐金證券自營,36.00000000000000000,184.0000000000000000,37863.00000000000000,0,0,0,0,240.0000000000000000,38323.00000000000000,0,36.00000000000000000,47029.00000000000000,15.00000000000000000,0,0,0,150.0000000000000000,47230.00000000000000,0,61.00000000000000000,78751.00000000000000,9.000000000000000000,0,0,0,490.0000000000000000,79311.00000000000000,76.00000000000000000,0,82246.00000000000000,10.00000000000000000,0,0,0,0,82332.00000000000000,0,0,103703.0000000000000,500.0000000000000000,0,0,0,0,104203.0000000000000,0,0,174071.0000000000000,0,0,0,0,20.00000000000000000,174091.0000000000000,0,0,64838.00000000000000,0,0,0,0,0,64838.00000000000000,0,0,79573.00000000000000,25.00000000000000000,0,0,0,0,79598.00000000000000,0,0,60366.00000000000000,0,0,0,0,12.00000000000000000,60378.00000000000000,315.0000000000000000,960.000000000000000,73531.00000000000000,0,0,0,0,58.00000000000000000,74864.00000000000000,400.0000000000000000,2.000000000000000000,55736.00000000000000,560.0000000000000000,0,0,0,30.00000000000000000,56728.00000000000000,1700.000000000000000,0,76781.00000000000000,5.000000000000000000,0,0,0,20.00000000000000000,78506.00000000000000,0,0,48440.00000000000000,2.000000000000000000,0,0,0,0,48442.00000000000000,0,36.00000000000000000,44396.00000000000000,27.00000000000000000,0,0,0,20.00000000000000000,44479.00000000000000,244.0000000000000000,78.00000000000000000,67883.00000000000000,20.00000000000000000,0,0,0,18.00000000000000000,68243.00000000000000,182.0000000000000000,60.00000000000000000,69503.00000000000000,35.00000000000000000,0,0,0,0,69780.00000000000000,2.000000000000000000,80.00000000000000000,39896.00000000000000,25.00000000000000000,0,0,0,0,40003.00000000000000,44.00000000000000000,0,53100.00000000000000,15.00000000000000000,0,0,0,30.00000000000000000,53189.00000000000000,40.00000000000000000,4.000000000000000000,17283.00000000000000,17.00000000000000000,0,0,0,0,17344.00000000000000,46.00000000000000000,80.00000000000000000,17203.00000000000000,10.00000000000000000,0,0,0,0,17339.00000000000000,0,0,38669.00000000000000,20.00000000000000000,0,0,0,0,38689.00000000000000,0,2.000000000000000000,22055.00000000000000,145.0000000000000000,0,0,0,0,22202.00000000000000,0,42.00000000000000000,13347.00000000000000,15.00000000000000000,0,0,0,0,13404.00000000000000,3085.000000000000000,1625.000000000000000,1366263.000000000000,1455.000000000000000,0,0,0,1088.000000000000000,1373516.000000000000,4.780000000000000000
F002000,永豐期貨,20.00000000000000000,261.0000000000000000,44705.00000000000000,0,0,0,0,4.000000000000000000,44990.00000000000000,24.00000000000000000,105.0000000000000000,43892.00000000000000,10.00000000000000000,0,3.000000000000000000,0,0,44034.00000000000000,3.000000000000000000,215.0000000000000000,87976.00000000000000,10.00000000000000000,0,0,0,16.00000000000000000,88220.00000000000000,32.00000000000000000,330.0000000000000000,68343.00000000000000,3.000000000000000000,0,0,0,81.00000000000000000,68789.00000000000000,24.00000000000000000,208.0000000000000000,156676.0000000000000,0,0,0,0,112.0000000000000000,157020.0000000000000,0,207.0000000000000000,119106.0000000000000,0,0,0,0,59.00000000000000000,119372.0000000000000,0,26.00000000000000000,106614.0000000000000,0,0,0,0,312.0000000000000000,106952.0000000000000,0,15.00000000000000000,56300.00000000000000,0,0,0,0,57.00000000000000000,56372.00000000000000,0,9.000000000000000000,75817.00000000000000,0,0,0,0,127.0000000000000000,75953.00000000000000,0,4.000000000000000000,55624.00000000000000,10.00000000000000000,0,0,0,26.00000000000000000,55664.00000000000000,0,3.000000000000000000,46425.00000000000000,15.00000000000000000,0,0,0,13.00000000000000000,46456.00000000000000,0,4.000000000000000000,48408.00000000000000,0,0,0,0,4.000000000000000000,48416.00000000000000,1.000000000000000000,8.000000000000000000,53172.00000000000000,5.000000000000000000,0,0,0,32.00000000000000000,53218.00000000000000,3.000000000000000000,12.00000000000000000,28091.00000000000000,5.000000000000000000,0,0,0,105.0000000000000000,28216.00000000000000,1.000000000000000000,327.0000000000000000,37030.00000000000000,0,0,0,0,42.00000000000000000,37400.00000000000000,0,44.00000000000000000,36930.00000000000000,15.00000000000000000,0,0,0,139.0000000000000000,37128.00000000000000,0,45.00000000000000000,35891.00000000000000,0,0,0,0,6.000000000000000000,35942.00000000000000,3.000000000000000000,7.000000000000000000,42396.00000000000000,5.000000000000000000,0,0,0,30.00000000000000000,42441.00000000000000,3.000000000000000000,6.000000000000000000,31978.00000000000000,0,0,0,0,13.00000000000000000,32000.00000000000000,1.000000000000000000,4.000000000000000000,44081.00000000000000,0,0,0,0,6.000000000000000000,44092.00000000000000,1.000000000000000000,8.000000000000000000,31645.00000000000000,5.000000000000000000,0,0,0,202.0000000000000000,31861.00000000000000,2.000000000000000000,7.000000000000000000,31663.00000000000000,3.000000000000000000,0,0,0,58.00000000000000000,31733.00000000000000,0,2.000000000000000000,37473.00000000000000,3.000000000000000000,0,0,0,87.00000000000000000,37565.00000000000000,118.0000000000000000,1857.000000000000000,1320236.000000000000,89.00000000000000000,0,3.000000000000000000,0,1531.000000000000000,1323834.000000000000,4.610000000000000512
S585999,統一證券自營,0,0,17561.00000000000000,0,0,0,0,0,17561.00000000000000,0,0,25418.00000000000000,0,0,0,0,0,25418.00000000000000,22.00000000000000000,55.00000000000000000,42963.00000000000000,0,0,0,0,0,43040.00000000000000,123.0000000000000000,606.0000000000000000,39330.00000000000000,0,0,0,0,9.000000000000000000,40068.00000000000000,4.000000000000000000,192.0000000000000000,180339.0000000000000,0,0,0,0,0,180535.0000000000000,8.000000000000000000,32.00000000000000000,148583.0000000000000,0,0,0,0,0,148623.0000000000000,0,0,155904.0000000000000,0,0,0,0,0,155904.0000000000000,0,0,57361.00000000000000,0,0,0,0,0,57361.00000000000000,0,38.00000000000000000,125213.0000000000000,0,0,0,0,0,125251.0000000000000,0,0,51096.00000000000000,0,0,0,0,0,51096.00000000000000,0,0,63766.00000000000000,0,0,0,0,0,63766.00000000000000,0,0,77855.00000000000000,0,0,0,0,0,77855.00000000000000,0,0,34125.00000000000000,0,0,0,0,0,34125.00000000000000,0,0,14142.00000000000000,0,0,0,0,0,14142.00000000000000,0,0,15927.00000000000000,0,0,0,0,0,15927.00000000000000,0,0,16836.00000000000000,0,0,0,0,0,16836.00000000000000,0,0,9771.00000000000000,0,0,0,0,0,9771.00000000000000,0,0,9745.00000000000000,0,0,0,0,0,9745.00000000000000,0,0,16441.00000000000000,0,0,0,0,0,16441.00000000000000,0,0,9623.00000000000000,0,0,0,0,0,9623.00000000000000,40.00000000000000000,0,12399.00000000000000,0,0,0,0,0,12439.00000000000000,0,0,9679.00000000000000,0,0,0,0,0,9679.00000000000000,33.00000000000000000,0,26548.00000000000000,0,0,0,0,0,26581.00000000000000,230.0000000000000000,923.000000000000000,1160625.000000000000,0,0,0,0,9.000000000000000000,1161787.000000000000,4.050000000000000000
