期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20121001,,,,,,,,20121002,,,,,,,,20121003,,,,,,,,20121004,,,,,,,,20121005,,,,,,,,20121008,,,,,,,,20121009,,,,,,,,20121011,,,,,,,,20121012,,,,,,,,20121015,,,,,,,,20121016,,,,,,,,20121017,,,,,,,,20121018,,,,,,,,20121019,,,,,,,,20121022,,,,,,,,20121023,,,,,,,,20121024,,,,,,,,20121025,,,,,,,,20121026,,,,,,,,20121029,,,,,,,,20121030,,,,,,,,20121031,,,,,,,,99999999,,,,,,,
S980999,元大寶來證券自營,91,54,56114,137,0,0,39,56435,48,78,72641,265,0,0,83,73115,38,67,72597,326,0,0,7,73035,122,158,120109,200,0,0,12,120601,141,393,75235,166,0,0,89,76024,108,184,113091,157,0,0,36,113576,344,340,109884,130,0,0,0,110698,93,683,160974,256,0,0,117,162123,55,186,121992,189,0,0,107,122529,11,93,112692,147,0,0,77,113020,2781,612,70821,132,0,0,80,74426,50,92,131974,129,0,0,40,132285,16,53,54146,376,0,0,175,54766,59,26,62105,214,0,0,127,62531,98,196,66657,100,0,0,230,67281,87,53,66322,225,0,0,452,67139,307,220,129533,111,0,0,363,130534,164,87,80076,97,0,0,159,80583,312,400,207558,129,0,0,52,208451,239,464,133935,191,0,0,20,134849,172,425,127485,200,0,0,3,128285,188,131,100892,320,0,0,0,101531,5524,4995,2246833,4197,0,0,2268,2263817,12.2899999999999984
S157999,港商法國興業證券自營,2,18,58877,45,0,0,0,58942,13,71,63886,75,0,0,0,64045,0,34,66561,46,0,0,0,66641,66,44,111404,60,0,0,0,111574,33,199,83460,55,0,0,0,83747,18,64,126442,45,0,0,0,126569,48,173,125644,30,0,0,0,125895,44,321,185175,84,0,0,0,185624,9,132,165875,215,0,0,0,166231,102,62,141014,120,0,0,0,141298,2700,670,72854,550,0,0,0,76774,0,0,76866,131,0,0,0,76997,0,47,40281,25,0,0,0,40353,0,30,54936,15,0,0,0,54981,0,227,80752,25,0,0,0,81004,0,41,55569,5,0,0,0,55615,0,304,105932,10,0,0,0,106246,0,107,76021,18,0,0,0,76146,0,509,175335,21,0,0,0,175865,0,354,121546,15,0,0,0,121915,0,153,120043,33,0,0,0,120229,0,161,105760,20,0,0,0,105941,3035,3721,2214233,1643,0,0,0,2222632,12.07
F034999,澳帝華期貨自營,138,15,51928,61,0,0,91,52233,89,108,62452,37,0,0,55,62741,48,59,64461,39,0,0,76,64683,272,212,96000,48,0,0,107,96639,126,248,69955,73,0,0,50,70452,88,74,88479,295,0,0,108,89044,461,401,90008,81,0,0,151,91102,10,657,149264,85,0,0,115,150131,7,50,136308,139,0,0,167,136671,100,7,106846,20,0,0,78,107051,5,61,94791,48,0,0,84,94989,49,101,97111,36,0,0,70,97367,41,84,48107,87,0,0,144,48463,68,56,54858,124,0,0,152,55258,111,275,70986,38,0,0,290,71700,87,25,49101,65,0,0,49,49327,85,163,73842,50,0,0,41,74181,221,153,57296,28,0,0,51,57749,182,357,190836,78,0,0,68,191521,239,615,112150,93,0,0,117,113214,0,0,112486,64,0,0,25,112575,0,0,84887,56,0,0,10,84953,2427,3721,1962152,1645,0,0,2099,1972044,10.7100000000000016
F021000,元大寶來期貨,109,53,42748,7,14,0,6,42937,81,97,51322,3,0,0,5,51508,31,31,53439,2,4,0,62,53569,120,84,78383,1,6,0,15,78609,94,256,58678,4,4,0,30,59066,78,130,78359,4,2,0,7,78580,247,190,85883,7,0,0,4,86331,245,239,164046,12,6,0,49,164597,139,171,117122,70,6,0,5,117513,57,95,69589,6,1,0,5,69753,220,182,79405,16,4,0,21,79848,53,67,125394,12,0,0,6,125532,25,38,45798,8,9,0,46,45924,99,30,55866,1,1,0,8,56005,69,101,90008,1,2,0,55,90236,86,75,49636,5,1,0,11,49814,107,179,91056,6,5,0,51,91404,46,54,58202,1,1,0,34,58338,176,122,164060,4,9,0,52,164423,128,146,91173,7,0,0,64,91518,48,177,91569,4,0,0,20,91818,274,63,59952,27,3,0,16,60335,2532,2580,1801688,208,78,0,572,1807658,9.82
F004000,凱基期貨,1,17,34423,16,0,0,3,34460,0,4,39845,15,0,0,15,39879,0,12,35288,16,0,0,26,35342,4,10,54825,56,0,0,25,54920,3,27,42619,9,0,0,29,42687,2,33,66275,12,0,0,38,66360,0,103,57432,14,0,0,9,57558,6,48,104426,62,0,0,24,104566,6,16,83343,77,0,0,9,83451,0,52,53549,23,0,0,21,53645,3,11,46976,18,0,0,12,47020,12,14,86233,41,0,0,9,86309,6,8,27387,16,0,0,20,27437,2,5,34344,3,1,0,25,34380,9,4,55131,4,1,0,19,55168,9,10,30525,3,0,0,9,30556,3,5,55613,8,0,0,20,55649,9,4,46776,5,0,0,38,46832,3,8,95559,5,0,0,53,95628,2,2,75566,0,0,0,5,75575,0,0,59137,0,0,0,4,59141,1,6,51424,7,0,0,4,51442,81,399,1236696,410,2,0,417,1238005,6.72
F002000,永豐期貨,2,48,29621,5,0,0,18,29694,10,96,33262,2,0,0,3,33373,0,19,31984,1,4,0,20,32028,0,33,47145,12,2,0,7,47199,8,34,33313,25,0,0,8,33388,15,68,47665,65,0,0,27,47840,45,32,56395,21,0,0,22,56515,35,173,87820,45,3,0,4,88080,12,31,71998,17,1,0,5,72064,0,1,51865,10,0,0,16,51892,14,25,57628,15,0,0,15,57697,2,35,88322,15,0,0,8,88382,25,22,26397,124,0,0,3,26571,25,10,36206,51,0,0,2,36294,10,67,51018,36,0,0,6,51137,0,2,41832,10,0,0,2,41846,0,58,49418,17,2,0,23,49518,1,21,44902,11,0,0,8,44943,22,54,102508,11,8,0,3,102606,0,22,75662,0,0,0,32,75716,0,11,43080,25,0,0,2,43118,0,6,35466,44,2,0,3,35521,226,868,1143507,562,22,0,237,1145422,6.22
F020000,群益期貨,0,5,35054,7,0,0,2,35068,0,5,29886,0,0,0,0,29891,0,2,22761,0,0,0,0,22763,1,1,38870,1,4,0,0,38877,0,34,24777,10,0,0,14,24835,8,16,38003,12,0,0,5,38044,16,34,45366,2,0,0,1,45419,8,48,90323,7,0,0,1,90387,0,36,73653,20,0,0,0,73709,0,11,51478,26,0,0,3,51518,22,19,57608,0,0,0,4,57653,12,14,63065,29,0,0,33,63153,0,8,25794,7,1,0,0,25810,8,1,24278,6,0,0,4,24297,0,5,37916,5,0,0,0,37926,2,8,35583,2,0,0,66,35661,1,5,37123,0,2,0,19,37150,3,1,22621,10,0,0,1,22636,6,1,69842,2,3,0,12,69866,4,529,54129,0,0,0,5,54667,0,2,46429,1,0,0,25,46457,3,1,30079,158,0,0,0,30241,94,786,954638,305,10,0,195,956028,5.19000000000000064
B224999,中國信託商業銀行自營,7,21,13644,158,0,0,5,13835,30,8,15435,218,0,0,48,15739,60,30,14733,296,0,0,37,15156,98,79,21316,149,0,0,70,21712,62,82,15395,132,0,0,46,15717,154,79,23235,101,0,0,30,23599,148,142,31375,56,0,0,43,31764,265,371,45151,223,0,0,170,46180,71,145,58979,246,0,0,94,59535,39,96,38624,105,0,0,13,38877,80,57,32064,299,0,0,109,32609,160,70,28415,189,0,0,63,28897,9,10,17639,172,0,0,112,17942,41,30,20082,209,0,0,112,20474,0,0,22716,70,0,0,173,22959,181,12,22978,208,0,0,138,23517,241,211,27601,109,0,0,157,28319,181,143,30055,69,0,0,135,30583,275,657,60211,144,0,0,187,61474,196,237,45947,131,0,0,95,46606,218,284,39394,173,0,0,40,40109,305,128,40687,299,0,0,17,41436,2821,2892,665676,3756,0,0,1894,677039,3.68
F026000,富邦期貨,3,1,15444,40,0,0,1,15489,2,7,19998,30,0,0,0,20037,0,18,20281,36,0,0,2,20337,3,2,29639,54,0,0,24,29722,0,23,17325,42,0,0,6,17396,2,17,34132,45,0,0,0,34196,14,6,24762,35,0,0,4,24821,23,3,50771,37,0,0,0,50834,5,4,36017,222,0,0,0,36248,6,1,28711,117,0,0,0,28835,0,1,27627,410,0,0,13,28051,8,29,41302,128,0,0,2,41469,0,0,19511,12,0,0,0,19523,0,1,23052,6,0,0,0,23059,1,21,30433,5,0,0,15,30475,1,6,16715,12,0,0,0,16734,0,26,26566,10,0,0,22,26624,0,0,18562,11,0,0,2,18575,1,6,51060,12,0,0,1,51080,0,4,35993,10,0,0,2,36009,0,0,26839,25,0,0,2,26866,0,1,24434,25,1,0,0,24461,69,177,619174,1324,1,0,96,620841,3.37
