期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20130201,,,,,,,,20130204,,,,,,,,20130205,,,,,,,,20130206,,,,,,,,20130218,,,,,,,,20130219,,,,,,,,20130220,,,,,,,,20130221,,,,,,,,20130222,,,,,,,,20130223,,,,,,,,20130225,,,,,,,,20130226,,,,,,,,20130227,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,86,466,140917,5,0,0,0,141474,24,2008,150663,45,0,0,0,152740,73,1500,115219,21,0,0,0,116813,6,209,110175,19,0,0,0,110409,46,257,135593,45,0,0,0,135941,4,103,90036,816,0,0,0,90959,14,1234,90720,92,0,0,0,92060,0,0,62625,5,0,0,0,62630,49,598,85046,5,0,0,0,85698,25,93,38717,4,0,0,0,38839,30,213,86181,0,0,0,0,86424,53,206,143058,0,0,0,0,143317,49,71,83888,0,0,0,0,84008,459,6958,1332838,1057,0,0,0,1341312,11.86
F021000,元大寶來期貨,101,183,99081,21,0,0,49,99435,97,752,136311,7,2,0,13,137182,168,1552,91723,0,6,0,27,93476,142,1212,121967,17,1,0,146,123485,150,397,102695,4,4,0,113,103363,3,48,51551,13,0,0,61,51676,55,589,123007,42,1,0,72,123766,29,158,68757,55,0,0,165,69164,22,138,74255,8,4,0,126,74553,12,158,33049,1,0,0,59,33279,46,267,56277,5,2,0,72,56669,33,69,95858,6,11,0,68,96045,15,10,76747,1,0,0,97,76870,873,5533,1131278,180,31,0,1068,1138963,10.07
F034999,澳帝華期貨自營,175,127,89828,61,0,0,504,90695,129,537,115028,122,0,0,136,115952,148,335,87702,25,0,0,118,88328,20,171,151523,70,0,0,207,151991,29,163,104158,78,0,0,333,104761,51,158,57314,59,0,0,418,58000,81,1079,100250,46,0,0,333,101789,46,1154,50588,74,0,0,487,52349,103,656,65845,88,0,0,262,66954,137,258,35796,78,0,0,63,36332,109,195,60322,153,0,0,86,60865,72,283,76640,233,0,0,176,77404,208,73,60517,119,0,0,410,61327,1308,5189,1055511,1206,0,0,3533,1066747,9.43
S980999,元大寶來證券自營,109,145,108223,56,0,0,259,108792,584,1434,114706,145,0,0,163,117032,358,1370,84688,134,0,0,58,86608,177,1021,99710,80,0,0,80,101068,38,816,76888,36,0,0,99,77877,175,150,72196,143,0,0,192,72856,5,750,69516,451,0,0,101,70823,52,1051,53760,237,0,0,235,55335,235,297,67858,152,0,0,112,68654,262,152,28687,60,0,0,40,29201,68,264,63877,89,0,0,48,64346,171,261,80031,45,0,0,66,80574,227,147,50560,85,0,0,279,51298,2461,7858,970700,1713,0,0,1732,984464,8.69999999999999872
F002000,永豐期貨,7,17,65791,6,0,0,5,65826,6,299,90916,1,0,0,8,91230,0,35,57587,19,0,0,0,57641,4,191,87034,17,1,0,3,87250,4,180,82345,24,0,0,30,82583,7,71,51708,23,0,0,8,51817,5,243,103645,37,0,0,1,103931,1,52,53142,52,0,0,36,53283,0,63,54460,59,0,0,15,54597,3,32,29854,4,0,0,0,29893,0,34,42933,10,0,0,23,43000,0,141,69264,12,0,0,14,69431,0,24,53978,10,0,0,27,54039,37,1382,842657,274,1,0,170,844521,7.47
F004000,凱基期貨,120,73,52601,29,0,0,13,52836,3,628,97757,133,0,0,1,98522,0,610,60601,67,0,0,4,61282,7,427,82275,45,0,0,26,82780,1,458,65475,46,0,0,35,66015,3,61,31459,21,0,0,24,31568,8,496,69835,27,0,0,32,70398,4,558,42978,17,0,0,39,43596,3,50,50061,34,0,0,7,50155,1,10,27468,27,0,0,2,27508,1,18,47433,18,0,0,34,47504,7,169,69869,7,0,0,9,70061,4,15,54300,8,0,0,9,54336,162,3573,752112,479,0,0,235,756561,6.69
F020000,群益期貨,3,46,46448,1,0,0,8,46506,11,307,76319,8,0,0,4,76649,11,265,39207,0,1,0,10,39494,0,158,70181,3,0,0,4,70346,2,136,60078,22,0,0,33,60271,8,4,29538,4,0,0,5,29559,25,36,68473,2,0,0,16,68552,5,58,32394,13,0,0,109,32579,5,55,32673,0,0,0,7,32740,2,26,24190,23,0,0,1,24242,0,8,27643,0,0,0,0,27651,11,50,50413,0,0,0,15,50489,3,88,46461,0,0,0,25,46577,86,1237,604018,76,1,0,237,605655,5.36
B224999,中國信託商業銀行自營,112,175,28644,117,0,0,527,29575,585,1440,41260,216,0,0,150,43651,190,1693,32671,151,0,0,31,34736,92,1132,52471,133,0,0,137,53965,233,1475,33086,157,0,0,66,35017,202,293,24404,465,0,0,124,25488,45,1413,40015,561,0,0,145,42179,33,477,12516,167,0,0,223,13416,222,412,22005,111,0,0,100,22850,107,152,13151,120,0,0,67,13597,47,119,16303,110,0,0,43,16622,104,185,25069,208,0,0,224,25790,227,164,30985,110,0,0,213,31699,2199,9130,372580,2626,0,0,2050,388585,3.44
S585999,統一證券自營,0,0,26325,0,0,0,0,26325,0,0,48479,0,0,0,0,48479,0,0,48312,0,0,0,0,48312,0,0,46711,0,0,0,0,46711,0,0,28681,0,0,0,0,28681,0,0,27850,0,0,0,0,27850,0,0,35640,0,0,0,0,35640,0,0,9544,0,0,0,0,9544,0,0,13153,0,0,0,0,13153,0,0,10475,0,0,0,0,10475,0,0,22268,0,0,0,0,22268,0,0,35127,0,0,0,0,35127,0,0,29956,0,0,0,0,29956,0,0,382521,0,0,0,0,382521,3.38
F008000,統一期貨,0,24,27038,2,0,0,196,27260,0,21,30380,3,0,0,84,30488,1,82,22100,9,0,0,70,22262,5,82,31654,3,0,0,21,31765,121,103,37350,9,0,0,178,37761,5,19,17917,22,0,0,72,18035,0,167,50250,0,0,0,134,50551,0,325,19830,20,0,0,139,20314,1,118,19037,11,0,0,104,19271,0,102,15571,0,0,0,9,15682,0,3,21973,0,2,0,51,22029,2,6,32832,2,10,0,80,32932,0,89,31575,0,0,0,11,31675,135,1141,357507,81,12,0,1149,360025,3.18
F026000,富邦期貨,2,30,26579,22,0,0,5,26638,4,126,38890,137,0,0,0,39157,2,7,25909,71,1,0,28,26018,1,20,37430,97,0,0,0,37548,4,11,25271,165,0,0,9,25460,2,13,18056,707,0,0,1,18779,28,40,37862,549,0,0,4,38483,1,23,23203,118,0,0,28,23373,5,19,25925,54,0,0,19,26022,0,30,15896,58,0,0,3,15987,0,19,20737,85,0,0,10,20851,3,27,33057,51,0,0,2,33140,1,16,25917,56,0,0,14,26004,53,381,354732,2170,1,0,123,357460,3.16
F039000,大昌期貨,0,15,32822,10,0,0,6,32853,20,66,36979,5,0,0,3,37073,25,64,21796,12,0,0,1,21898,25,29,42026,21,0,0,4,42105,0,4,27866,40,0,0,3,27913,0,1,16467,37,0,0,14,16519,0,60,35627,18,0,0,18,35723,0,0,17811,79,0,0,36,17926,0,9,19736,11,0,0,43,19799,0,6,13693,10,0,0,54,13763,0,9,18942,42,0,0,35,19028,0,2,32720,5,0,0,8,32735,0,4,22330,39,0,0,22,22395,70,269,338815,329,0,0,247,339730,3
F018000,元富期貨,1,5,24292,1,0,0,5,24304,0,28,18959,3,0,0,5,18995,3,74,13397,8,0,0,19,13501,6,7,29894,9,0,0,0,29916,8,20,32592,18,0,0,40,32678,11,6,16722,1,0,0,6,16746,3,15,37177,15,0,0,36,37246,3,17,19511,5,0,0,76,19612,1,3,26426,17,0,0,12,26459,0,1,16590,0,0,0,0,16591,2,0,24674,0,0,0,1,24677,6,1,43165,0,0,0,2,43174,0,4,27967,0,0,0,0,27971,44,181,331366,77,0,0,202,331870,2.93
F029000,康和期貨,0,6,26809,3,0,0,4,26822,2,17,36969,1,0,0,2,36991,14,24,22378,9,0,0,2,22427,2,37,30942,3,0,0,0,30984,14,5,27645,0,4,0,25,27693,8,2,16500,9,0,0,1,16520,2,22,35135,1,0,0,5,35165,0,13,20422,0,0,0,9,20444,0,2,23035,0,4,0,34,23075,8,7,13508,0,0,0,1,13524,0,2,19383,0,0,0,1,19386,6,5,30466,0,0,0,1,30478,1,1,26600,0,0,0,11,26613,57,143,329792,26,8,0,96,330122,2.92
