期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20130701,,,,,,,,20130702,,,,,,,,20130703,,,,,,,,20130704,,,,,,,,20130705,,,,,,,,20130708,,,,,,,,20130709,,,,,,,,20130710,,,,,,,,20130711,,,,,,,,20130712,,,,,,,,20130715,,,,,,,,20130716,,,,,,,,20130717,,,,,,,,20130718,,,,,,,,20130719,,,,,,,,20130722,,,,,,,,20130723,,,,,,,,20130724,,,,,,,,20130725,,,,,,,,20130726,,,,,,,,20130729,,,,,,,,20130730,,,,,,,,20130731,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,0,371,134546,20,0,0,0,134937,1,58,92810,25,0,0,0,92894,8,160,100893,36,0,0,0,101097,15,21,99276,25,0,0,0,99337,141,122,156988,35,0,0,0,157286,330,156,159929,56,0,0,0,160471,9,344,131978,25,0,0,0,132356,6,522,175557,30,0,0,0,176115,7,52,206607,38,0,0,0,206704,0,39,88464,25,0,0,0,88528,0,0,188632,325,0,0,0,188957,7,0,112304,350,0,0,0,112661,700,1361,78947,100,0,0,0,81108,9,413,88699,5,0,0,0,89126,18,348,164660,160,0,0,0,165186,1,353,89936,5,0,0,0,90295,28,0,145217,15,0,0,0,145260,13,0,61824,15,0,0,0,61852,0,0,104917,5,0,0,0,104922,0,0,113295,5,0,0,0,113300,0,0,117460,10,0,0,0,117470,0,0,99299,10,0,0,0,99309,0,0,61557,70,0,0,0,61627,1293,4320,2773795,1390,0,0,0,2780798,12.75
F021000,元大寶來期貨,28,8,116448,5,0,0,29,116518,88,12,66145,1,0,0,38,66284,89,204,116167,5,0,0,56,116521,32,111,71530,0,4,0,19,71696,79,99,127684,3,1,0,42,127908,257,171,112349,0,1,0,45,112823,40,81,102214,4,0,0,45,102384,120,161,148255,2,10,0,22,148570,111,406,177926,23,2,0,173,178641,74,96,73655,2,6,0,17,73850,154,216,123476,20,2,0,11,123879,96,16,63832,6,2,0,9,63961,16,71,113031,16,0,0,20,113154,31,357,73309,8,8,0,9,73722,546,298,134516,55,0,0,30,135445,124,29,67168,2,11,0,71,67405,227,694,116030,9,12,0,131,117103,39,57,82447,2,3,0,69,82617,48,26,68835,6,4,0,13,68932,37,96,81446,3,6,0,99,81687,42,116,81403,2,0,0,30,81593,21,54,78371,1,0,0,19,78466,7,27,78454,1,0,0,108,78597,2306,3406,2274691,176,72,0,1105,2281756,10.4600000000000016
F034999,澳帝華期貨自營,10,20,112263,103,0,0,38,112434,4,84,53289,74,0,0,9,53460,27,266,100424,48,0,0,21,100786,102,62,54207,23,0,0,44,54438,43,185,82821,67,0,0,37,83153,209,101,111252,35,0,0,34,111631,8,28,119985,52,0,0,1,120074,46,126,115332,70,0,0,41,115615,310,309,113972,107,0,0,71,114769,0,196,60229,88,0,0,26,60539,0,72,102331,31,0,0,20,102454,2,6,62181,29,0,0,45,62263,0,43,72014,18,0,0,20,72095,0,202,52249,87,0,0,41,52579,189,96,83959,22,0,0,148,84414,104,74,54963,33,0,0,39,55213,69,40,96692,14,0,0,154,96969,15,5,66832,5,0,0,5,66862,49,332,65209,25,0,0,173,65788,26,156,63465,2,0,0,197,63846,52,440,77905,12,0,0,201,78610,39,519,56161,3,0,0,69,56791,49,307,61394,268,0,0,101,62119,1353,3669,1839129,1216,0,0,1535,1846902,8.47
S980999,元大寶來證券自營,133,509,87203,66,0,0,213,88124,43,137,41626,67,0,0,154,42027,163,605,54842,66,0,0,27,55703,169,169,58519,77,0,0,77,59011,360,281,83882,139,0,0,23,84685,484,509,115063,126,0,0,131,116313,176,534,105636,131,0,0,79,106556,302,798,134050,110,0,0,69,135329,265,576,133675,120,0,0,72,134708,88,250,56401,125,0,0,66,56930,149,625,88106,101,0,0,35,89016,98,87,52924,155,0,0,83,53347,140,571,65434,175,0,0,56,66376,62,1282,75493,36,0,0,25,76898,744,758,114121,25,0,0,173,115821,175,347,57863,0,0,0,11,58396,200,800,89807,33,0,0,229,91069,14,306,60408,10,0,0,164,60902,28,524,60364,10,0,0,224,61150,48,108,60176,0,0,0,0,60332,22,510,67115,21,0,0,222,67890,63,256,65980,8,0,0,120,66427,31,130,54501,40,0,0,46,54748,3957,10672,1783189,1641,0,0,2299,1801758,8.26
F004000,凱基期貨,0,8,82312,24,0,0,8,82352,0,2,49141,16,0,0,48,49207,0,39,86093,19,0,0,66,86217,3,7,53750,7,0,0,26,53793,1,22,93580,8,0,0,10,93621,1,13,83509,0,0,0,89,83612,0,10,82369,9,0,0,54,82442,1,46,138482,7,0,0,19,138555,2,51,144098,6,0,0,26,144183,2,53,60254,1,0,0,6,60316,4,35,107202,5,0,0,18,107264,2,10,67914,16,0,0,0,67942,1,24,87450,4,0,0,5,87484,5,23,46188,2,0,0,6,46224,72,34,76727,15,0,0,13,76861,33,25,46894,1,0,0,16,46969,58,54,87536,1,0,0,11,87660,10,17,67404,1,0,0,24,67456,52,3,43581,0,0,0,32,43668,4,20,51377,0,0,0,21,51422,21,22,56566,1,0,0,32,56642,25,35,60205,3,0,0,4,60272,15,7,62698,3,0,0,8,62731,312,560,1735330,149,0,0,542,1736893,7.96
F002000,永豐期貨,0,22,81236,15,0,0,19,81292,2,0,44842,11,0,0,57,44912,17,68,80483,5,0,0,9,80582,1,18,45369,24,3,0,18,45433,15,12,72728,5,1,0,6,72767,7,40,69104,0,1,0,13,69165,1,34,77970,12,0,0,9,78026,3,101,106236,3,1,0,23,106367,17,75,105592,37,0,0,67,105788,2,78,41767,22,0,0,14,41883,6,82,81853,21,0,0,5,81967,47,12,56513,5,0,0,4,56581,8,34,63930,11,0,0,8,63991,0,22,39269,20,0,0,7,39318,5,142,76935,11,0,0,8,77101,1,13,39441,25,0,0,45,39525,8,96,81690,11,0,0,15,81820,4,28,54993,7,2,0,40,55074,1,7,43212,5,2,0,41,43268,9,47,46005,7,0,0,7,46075,16,16,60725,0,0,0,8,60765,2,11,53283,10,0,0,6,53312,1,11,50175,19,0,0,41,50247,173,969,1473351,286,10,0,470,1475259,6.76
F029000,康和期貨,0,13,52694,5,0,0,6,52718,0,0,34547,0,0,0,9,34556,0,6,67122,0,0,0,2,67130,1,30,52559,0,0,0,3,52593,1,13,42792,84,0,0,0,42890,0,13,48188,0,0,0,7,48208,0,16,37878,0,0,0,4,37898,20,9,54957,0,0,0,0,54986,7,83,65798,0,0,0,1,65889,1,8,45670,1,6,0,0,45686,4,28,44801,0,0,0,14,44847,0,2,41998,2,0,0,0,42002,4,61,47642,0,0,0,2,47709,4,14,42914,1,8,0,7,42948,11,8,53278,2,0,0,3,53302,0,6,40781,0,8,0,7,40802,9,27,43894,0,11,0,13,43954,0,9,65302,0,0,0,32,65343,0,6,39048,0,0,0,5,39059,11,6,50862,0,6,0,12,50897,15,1,43773,0,0,0,0,43789,1,20,49254,0,0,0,4,49279,0,8,45372,0,0,0,1,45381,89,387,1111124,95,39,0,132,1111866,5.09999999999999936
F020000,群益期貨,7,14,67866,4,0,0,64,67955,5,12,34470,0,0,0,22,34509,0,18,47678,1,0,0,14,47711,1,41,29504,7,0,0,14,29567,0,33,65970,10,0,0,2,66015,1,18,60276,0,0,0,16,60311,0,11,53233,0,0,0,61,53305,1,64,68044,0,0,0,7,68116,6,12,88677,1,0,0,16,88712,6,11,31664,0,0,0,1,31682,24,42,59150,2,0,0,29,59247,3,14,42726,3,0,0,8,42754,48,50,54897,4,0,0,29,55028,11,27,24985,5,0,0,1,25029,8,19,43987,15,0,0,14,44043,14,14,28736,35,0,0,14,28813,3,49,57375,25,0,0,26,57478,5,36,39972,0,1,0,22,40036,7,1,24353,0,0,0,14,24375,10,7,30821,6,0,0,22,30866,9,8,41525,2,0,0,1,41545,1,25,42081,1,0,0,5,42113,3,42,38901,1,0,0,31,38978,173,568,1076891,122,1,0,433,1078188,4.94000000000000064
B224999,中國信託商業銀行自營,17,205,24542,85,0,0,104,24953,82,99,28217,63,0,0,58,28519,63,695,57413,77,0,0,148,58396,105,160,22964,76,0,0,179,23484,209,314,47905,188,0,0,67,48683,311,265,42358,77,0,0,233,43244,177,536,45186,92,0,0,148,46139,218,571,85178,75,0,0,103,86145,408,407,66409,230,0,0,267,67721,70,251,39172,125,0,0,124,39742,208,436,52163,116,0,0,113,53036,217,188,42772,86,0,0,106,43369,792,1578,57441,127,0,0,142,60080,121,559,15050,216,0,0,91,16037,731,374,36284,168,0,0,292,37849,118,293,15035,79,0,0,197,15722,203,605,34061,75,0,0,524,35468,54,180,34739,56,0,0,233,35262,38,466,16368,84,0,0,102,17058,87,174,20617,39,0,0,78,20995,78,667,25880,40,0,0,98,26763,76,437,27522,44,0,0,125,28204,9,241,33487,202,0,0,130,34069,4392,9701,870763,2420,0,0,3662,890938,4.09
S585999,統一證券自營,20,4,29485,0,0,0,0,29509,0,0,23727,0,0,0,0,23727,0,120,37642,0,0,0,0,37762,0,40,49449,0,0,0,0,49489,0,40,54259,0,0,0,0,54299,20,36,66903,0,0,0,0,66959,0,0,44108,0,0,0,0,44108,0,40,50095,0,0,0,0,50135,0,0,59451,0,0,0,0,59451,0,0,17560,0,0,0,0,17560,0,0,13577,0,0,0,0,13577,0,0,10737,0,0,0,0,10737,0,0,7857,0,0,0,0,7857,0,124,11334,0,0,0,0,11458,0,0,30077,0,0,0,0,30077,10,20,23952,0,0,0,0,23982,0,1,40888,0,0,0,0,40889,0,22,35125,0,0,0,0,35147,0,1,16435,0,0,0,0,16436,0,0,14779,0,0,0,0,14779,2,34,26030,0,0,0,0,26066,0,236,35426,0,0,0,0,35662,0,40,31032,0,0,0,0,31072,52,758,729928,0,0,0,0,730738,3.35
