期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20130902,,,,,,,,20130903,,,,,,,,20130904,,,,,,,,20130905,,,,,,,,20130906,,,,,,,,20130909,,,,,,,,20130910,,,,,,,,20130911,,,,,,,,20130912,,,,,,,,20130913,,,,,,,,20130914,,,,,,,,20130916,,,,,,,,20130917,,,,,,,,20130918,,,,,,,,20130923,,,,,,,,20130924,,,,,,,,20130925,,,,,,,,20130926,,,,,,,,20130927,,,,,,,,20130930,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,144,489,115015,80,0,0,0,115728,59,424,101891,101,0,0,0,102475,33,487,75574,90,0,0,0,76184,31,138,121724,105,0,0,0,121998,18,169,63028,113,0,0,0,63328,50,117,109921,158,0,0,0,110246,75,179,135321,155,0,0,0,135730,56,36,113305,110,0,0,0,113507,17,40,106358,130,0,0,0,106545,0,27,92801,170,0,0,0,92998,2,0,58066,0,0,0,0,58068,5,0,116531,230,0,0,0,116766,0,0,83862,276,0,0,0,84138,800,740,67768,95,0,0,0,69403,0,0,79711,25,0,0,0,79736,0,0,66021,80,0,0,0,66101,0,0,50263,45,0,0,0,50308,0,0,99326,45,0,0,0,99371,0,0,52226,71,0,0,0,52297,0,0,117090,65,0,0,0,117155,1290,2846,1825802,2144,0,0,0,1832082,12.24
F021000,元大寶來期貨,53,79,87211,2,2,0,31,87378,240,50,86121,1,3,0,13,86428,3,82,86087,2,0,0,73,86247,120,103,95911,5,16,0,40,96195,31,115,52836,3,4,0,8,52997,11,60,88963,1,1,0,7,89043,46,132,118132,12,0,0,13,118335,526,82,92381,6,5,0,8,93008,155,51,74532,5,6,0,15,74764,46,37,55402,3,0,0,77,55565,0,8,31323,0,0,4,9,31344,48,71,85172,6,1,0,98,85396,73,61,68340,4,0,0,53,68531,77,21,86308,21,0,0,28,86455,236,162,78394,15,9,0,14,78830,28,5,53374,4,2,0,6,53419,26,14,58746,0,2,0,2,58790,7,76,70876,1,2,0,4,70966,59,19,41852,1,1,0,20,41952,53,69,82726,4,4,0,12,82868,1838,1297,1494687,96,58,4,531,1498511,10.01
F034999,澳帝華期貨自營,312,540,62214,24,0,0,105,63195,158,391,61824,33,0,0,29,62435,107,302,67873,13,0,0,66,68361,121,177,71343,25,0,0,106,71772,72,227,36463,19,0,0,0,36781,233,206,68856,51,0,0,71,69417,596,215,90422,81,0,0,39,91353,126,115,98850,17,0,0,91,99199,276,248,49017,25,0,0,112,49678,163,158,73906,77,0,0,281,74585,181,168,34794,40,0,0,35,35218,208,25,68588,18,0,0,221,69060,54,9,40361,6,0,0,129,40559,634,877,50441,47,0,0,102,52101,258,483,67236,49,0,0,85,68111,114,73,57101,29,0,0,30,57347,12,180,61795,11,0,0,119,62117,301,365,64389,509,0,0,40,65604,149,173,27251,17,0,0,20,27610,48,236,69030,8,0,0,20,69342,4123,5168,1221754,1099,0,0,1701,1233845,8.25
F004000,凱基期貨,6,2,64192,1,0,0,11,64212,6,23,66332,2,0,0,7,66370,2,23,83504,1,0,0,7,83537,11,12,77069,1,0,0,7,77100,10,13,42353,2,0,0,24,42402,4,36,59850,0,1,0,2,59893,4,7,84986,1,0,0,3,85001,6,11,80983,3,0,0,39,81042,2,4,48026,0,0,0,28,48060,1,7,52044,2,0,0,71,52125,2,0,28415,0,0,0,31,28448,4,5,66798,2,0,0,13,66822,5,11,43379,0,0,0,48,43443,2,15,74435,4,0,0,36,74492,5,30,51177,3,0,0,17,51232,3,8,38047,12,0,0,8,38078,6,12,46564,8,0,0,6,46596,9,2,52469,4,0,0,56,52540,2,4,29531,1,1,0,8,29547,12,11,57899,1,0,0,3,57926,102,236,1148053,48,2,0,425,1148866,7.68
S980999,元大寶來證券自營,471,624,65455,82,0,0,60,66692,173,488,61822,70,0,0,3,62556,264,314,74566,116,0,0,44,75304,179,301,76973,110,0,0,20,77583,173,375,41957,95,0,0,107,42707,310,466,68374,106,0,0,32,69288,656,460,85050,176,0,0,23,86365,507,238,80731,100,0,0,7,81583,508,365,50296,109,0,0,94,51372,260,371,44350,125,0,0,328,45434,96,193,42976,155,0,0,57,43477,483,247,65185,134,0,0,322,66371,232,232,39012,129,0,0,77,39682,149,744,48335,140,0,0,122,49490,553,761,62347,33,0,0,85,63779,194,157,43698,20,0,0,47,44116,231,267,36855,23,0,0,196,37572,290,392,47126,32,0,0,68,47908,143,199,32620,15,0,0,58,33035,248,420,58257,5,0,0,55,58985,6120,7614,1125985,1775,0,0,1805,1143299,7.64
F002000,永豐期貨,3,9,56454,20,0,0,20,56506,2,37,61104,1,0,0,8,61152,1,25,69505,2,0,0,3,69536,2,10,54202,20,0,0,3,54237,7,77,35573,3,0,0,12,35672,0,27,52354,37,0,0,2,52420,2,55,67849,22,0,0,1,67929,2,28,81080,1,0,0,18,81129,2,3,37071,58,0,0,14,37148,8,11,37835,40,0,0,34,37928,0,12,23501,5,0,0,57,23575,2,25,61998,8,0,0,22,62055,3,74,46070,33,0,0,48,46228,0,30,78328,28,0,0,62,78448,33,27,44548,48,0,0,75,44731,6,13,47150,7,0,0,19,47195,0,30,50730,27,0,0,15,50802,10,8,48376,18,2,0,20,48434,6,6,28216,11,0,0,49,28288,24,8,54057,1,0,0,13,54103,113,515,1036001,390,2,0,495,1037516,6.93
F029000,康和期貨,18,9,29395,0,0,0,4,29426,1,4,30118,0,3,0,4,30130,1,4,59061,0,0,0,0,59066,9,1,56583,0,0,0,4,56597,0,4,31654,1,0,0,0,31659,0,9,29322,0,0,0,4,29335,0,35,39927,0,0,0,3,39965,10,26,52219,0,5,0,5,52265,2,16,45596,0,6,0,2,45622,1,1,41772,0,0,0,2,41776,0,8,17911,0,0,0,1,17920,5,1,30283,4,0,0,2,30295,4,8,30032,0,0,0,5,30049,4,3,45486,0,0,0,2,45495,4,1,57396,0,8,0,12,57421,0,0,54374,0,0,0,0,54374,2,2,49384,20,0,0,5,49413,2,18,56237,0,0,0,0,56257,2,0,36190,0,0,0,0,36192,4,10,44786,0,2,0,2,44804,69,160,837726,25,24,0,57,838061,5.59999999999999936
F020000,群益期貨,4,7,40733,2,0,0,14,40760,6,15,50723,6,0,0,9,50759,5,20,45545,20,0,0,17,45607,15,91,56033,31,12,0,24,56206,32,37,26897,9,0,0,9,26984,18,26,41606,31,0,0,28,41709,25,89,52223,120,0,0,2,52459,22,15,55554,0,0,0,13,55604,8,10,27306,11,0,0,25,27360,42,50,30898,4,0,0,53,31047,22,0,20636,2,0,0,14,20674,46,23,46395,3,0,0,37,46504,46,4,43551,0,0,0,4,43605,45,30,41472,3,0,0,28,41578,2,388,33588,0,0,0,37,34015,3,6,28324,1,0,0,10,28344,0,24,26973,33,0,0,11,27041,4,17,31401,35,0,0,0,31457,0,35,15460,21,0,0,8,15524,6,233,36721,12,0,0,10,36982,351,1120,752039,344,12,0,353,754219,5.04
B224999,中國信託商業銀行自營,85,71,28004,39,0,0,118,28317,177,332,44268,83,0,0,26,44886,198,223,58817,35,0,0,104,59377,165,134,33956,111,0,0,135,34501,5,81,20373,74,0,0,135,20668,247,358,31659,186,0,0,35,32485,86,320,48981,229,0,0,45,49661,1597,390,62526,55,0,0,91,64659,763,326,32284,161,0,0,90,33624,185,223,24438,176,0,0,232,25254,103,205,26886,83,0,0,204,27481,311,122,42696,142,0,0,292,43563,71,178,42166,133,0,0,93,42641,387,421,64298,186,0,0,62,65354,457,293,27533,111,0,0,90,28484,75,67,27991,70,0,0,82,28285,162,145,30819,85,0,0,160,31371,188,173,28332,122,0,0,82,28897,47,163,13116,48,0,0,76,13450,222,424,29045,48,0,0,121,29860,5531,4649,718188,2177,0,0,2273,732818,4.90000000000000064
