期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20140102,,,,,,,,20140103,,,,,,,,20140106,,,,,,,,20140107,,,,,,,,20140108,,,,,,,,20140109,,,,,,,,20140110,,,,,,,,20140113,,,,,,,,20140114,,,,,,,,20140115,,,,,,,,20140116,,,,,,,,20140117,,,,,,,,20140120,,,,,,,,20140121,,,,,,,,20140122,,,,,,,,20140123,,,,,,,,20140124,,,,,,,,20140127,,,,,,,,99999999,,,,,,,
F021000,元大寶來期貨,92,79,91112,1,4,0,188,91476,112,191,99554,1,0,0,24,99882,35,166,80677,6,0,0,70,80954,63,25,69994,1,16,0,3,70102,19,193,89819,1,0,0,14,90046,157,6,92445,2,0,0,28,92638,9,103,58019,4,0,0,8,58143,60,57,87359,0,0,0,121,87597,169,99,71015,0,12,0,6,71301,552,40,109271,8,0,0,147,110018,230,99,64175,15,4,0,17,64540,79,39,71107,6,0,0,57,71288,135,62,56811,3,0,0,28,57039,238,443,57943,11,0,0,17,58652,63,90,73208,12,0,0,35,73408,49,116,65331,1,8,0,91,65596,69,43,63579,1,0,0,99,63791,264,231,209681,1,4,0,126,210307,2395,2082,1511100,74,48,0,1079,1516778,10.78
S157999,港商法國興業證券自營,0,3,64877,115,0,0,0,64995,0,0,60848,82,0,0,0,60930,2,11,106510,100,0,0,0,106623,0,0,87211,71,0,0,0,87282,0,0,50264,115,0,0,0,50379,10,2,84768,100,0,0,0,84880,0,0,64497,15,0,0,0,64512,180,202,103108,125,0,0,0,103615,1450,1770,88462,174,0,0,0,91856,332,559,66622,60,0,0,0,67573,272,0,56620,25,0,0,0,56917,0,0,75610,31,0,0,0,75641,0,0,71428,25,0,0,0,71453,0,0,63674,50,0,0,0,63724,0,0,34189,35,0,0,0,34224,0,0,52000,60,0,0,0,52060,0,0,58001,70,0,0,0,58071,40,122,104347,93,0,0,0,104602,2286,2669,1293036,1346,0,0,0,1299337,9.24
F004000,凱基期貨,4,28,75029,1,4,0,45,75111,9,28,75251,2,0,0,11,75301,4,35,62039,0,0,0,7,62085,1,18,61797,6,0,0,5,61827,6,5,90561,0,0,0,0,90572,13,14,75267,12,0,0,5,75311,0,12,44927,6,0,0,6,44951,23,30,72021,15,0,0,7,72096,7,40,67039,0,0,0,2,67088,38,37,105580,1004,0,0,7,106666,18,21,58047,6,4,0,2,58098,14,3,51227,0,0,0,6,51250,6,46,47383,0,0,0,7,47442,1,10,46193,0,0,0,0,46204,5,5,69234,0,0,0,1,69245,4,67,43320,5,0,0,10,43406,0,29,45369,0,0,0,21,45419,3,21,119240,13,0,0,34,119311,156,449,1209524,1070,8,0,176,1211383,8.61
F034999,澳帝華期貨自營,0,111,63880,11,0,0,77,64079,105,200,69503,46,0,0,36,69890,254,520,25232,5,0,0,0,26011,0,13,59176,19,0,0,29,59237,12,155,70323,1,0,0,22,70513,1,157,85687,42,0,0,10,85897,25,120,51225,38,0,0,42,51450,69,66,71549,0,0,0,29,71713,40,159,70766,7,0,0,0,70972,213,33,81439,8,0,0,55,81748,144,310,53035,70,0,0,33,53592,37,134,72105,10,0,0,31,72317,28,139,73281,326,0,0,18,73792,22,201,69235,512,0,0,28,69998,30,117,55781,400,0,0,158,56486,65,172,51917,8,0,0,210,52372,280,262,46437,0,0,0,115,47094,20,130,109061,20,0,0,17,109248,1345,2999,1179632,1523,0,0,910,1186409,8.43
F002000,永豐期貨,7,15,71257,6,0,0,24,71309,11,46,55056,23,0,0,67,55203,2,15,50172,21,0,0,21,50231,0,24,46572,6,0,0,6,46608,0,67,76406,27,0,0,45,76545,4,26,59473,97,0,0,2,59602,7,56,46560,26,0,0,16,46665,17,15,75810,34,0,0,12,75888,0,30,65701,15,0,0,17,65763,10,14,88137,61,0,0,4,88226,26,4,44991,70,0,0,11,45102,2,8,43333,29,0,0,7,43379,3,8,37380,39,0,0,11,37441,1,40,37453,11,0,0,8,37513,10,2,56063,4,0,0,25,56104,1,11,31912,0,0,0,30,31954,9,33,30653,29,0,0,39,30763,7,10,89520,40,0,0,53,89630,117,424,1006449,538,0,0,398,1007926,7.16
S980999,元大寶來證券自營,218,290,67616,2,0,0,76,68202,84,387,67580,0,0,0,0,68051,238,814,66339,109,0,0,65,67565,32,38,50247,87,0,0,49,50453,36,310,53349,91,0,0,35,53821,129,256,51785,80,0,0,11,52261,98,178,40202,37,0,0,19,40534,292,289,52503,102,0,0,92,53278,435,442,41504,95,0,0,26,42502,839,295,39876,151,0,0,94,41255,5,124,47013,79,0,0,25,47246,18,59,57797,51,0,0,42,57967,194,169,48299,83,0,0,19,48764,51,297,43490,55,0,0,114,44007,152,223,44954,88,0,0,62,45479,364,291,45837,60,0,0,85,46637,235,263,47833,101,0,0,83,48515,329,708,116370,91,0,0,186,117684,3749,5433,982594,1362,0,0,1083,994221,7.07
B224999,中國信託商業銀行自營,113,183,42923,58,0,0,171,43448,160,188,33701,122,0,0,75,34246,116,501,33902,170,0,0,82,34771,66,56,35922,80,0,0,24,36148,22,176,49701,115,0,0,60,50074,251,260,47069,257,0,0,15,47852,42,116,29474,129,0,0,7,29768,22,118,54153,103,0,0,53,54449,959,1504,49577,136,0,0,22,52198,511,360,65854,173,0,0,71,66969,307,146,24375,264,0,0,28,25120,87,93,29367,126,0,0,65,29738,171,54,26166,97,0,0,58,26546,146,363,25431,107,0,0,149,26196,142,63,46460,114,0,0,76,46855,318,107,22489,62,0,0,24,23000,192,157,33458,90,0,0,89,33986,437,419,80012,129,0,0,235,81232,4062,4864,730034,2332,0,0,1304,742596,5.28
F029000,康和期貨,0,57,52211,0,0,0,2,52270,1,17,46680,0,0,0,2,46700,0,179,35926,0,0,0,4,36109,0,19,43789,0,0,0,0,43808,0,296,55356,2,0,0,0,55654,212,129,47840,0,0,0,4,48185,20,42,29585,0,0,0,8,29655,0,21,34332,0,0,0,5,34358,4,6,45576,0,12,0,0,45598,263,1,55009,0,0,0,1,55274,46,7,31721,0,0,0,0,31774,44,85,30620,0,0,0,0,30749,1,5,23705,0,0,0,1,23712,60,27,41577,0,0,0,0,41664,110,1,39948,0,0,0,1,40060,28,13,29235,0,8,0,12,29296,142,203,25540,0,0,0,5,25890,1,39,33876,0,4,0,5,33925,932,1147,702526,2,24,0,50,704681,5.01
F020000,群益期貨,1,12,39253,1,0,0,9,39276,8,20,42122,4,0,0,8,42162,10,40,40291,78,0,0,5,40424,2,5,31359,16,0,0,12,31394,15,18,39745,12,0,0,10,39800,35,27,39090,1,0,0,1,39154,24,7,22667,2,0,0,2,22702,12,9,41011,7,0,0,4,41043,17,16,33333,3,0,0,0,33369,45,13,45900,1,0,0,9,45968,10,16,29613,35,0,0,6,29680,9,5,28874,50,0,0,0,28938,3,0,29980,7,0,0,7,29997,0,6,31867,36,0,0,3,31912,10,1,35186,0,0,0,8,35205,4,4,29300,5,0,0,1,29314,1,20,28967,1,0,0,8,28997,1,9,79829,66,0,0,20,79925,207,228,668387,325,0,0,113,669260,4.76
