期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20140205,,,,,,,,20140206,,,,,,,,20140207,,,,,,,,20140210,,,,,,,,20140211,,,,,,,,20140212,,,,,,,,20140213,,,,,,,,20140214,,,,,,,,20140217,,,,,,,,20140218,,,,,,,,20140219,,,,,,,,20140220,,,,,,,,20140221,,,,,,,,20140224,,,,,,,,20140225,,,,,,,,20140226,,,,,,,,20140227,,,,,,,,99999999,,,,,,,
F021000,元大寶來期貨,1228,787,247964,5,0,0,112,250096,415,169,85912,3,2,0,18,86519,170,238,105731,3,0,0,80,106222,133,288,80617,1,0,0,13,81052,60,33,69327,2,0,0,85,69507,261,103,141625,0,0,0,31,142020,128,23,70067,3,2,0,24,70247,341,189,138970,0,2,0,70,139572,112,79,96888,3,0,0,187,97269,92,101,107346,14,0,0,104,107657,2,56,78961,42,6,0,79,79146,139,172,85569,29,1,0,93,86003,48,49,97185,6,1,0,80,97369,20,137,76871,2,0,0,18,77048,74,29,54261,7,0,0,27,54398,325,57,97711,8,0,0,106,98207,141,83,51041,16,1,0,50,51332,3689,2593,1686046,144,15,0,1177,1693664,11
S157999,港商法國興業證券自營,408,480,182290,17,0,0,0,183195,60,161,96032,99,0,0,0,96352,20,88,112909,95,0,0,0,113112,81,132,91777,120,0,0,0,92110,0,0,72923,140,0,0,0,73063,10,0,83155,90,0,0,0,83255,10,0,56628,95,0,0,0,56733,10,2,117164,139,0,0,0,117315,0,0,103383,130,0,0,0,103513,2900,380,129974,80,0,0,0,133334,180,161,61484,95,0,0,0,61920,0,40,90422,35,0,0,0,90497,0,0,88872,35,0,0,0,88907,0,0,86762,183,0,0,0,86945,0,0,72843,34,0,0,0,72877,5,0,52297,45,0,0,0,52347,0,0,55477,35,0,0,0,55512,3684,1444,1554392,1467,0,0,0,1560987,10.14
F034999,澳帝華期貨自營,342,529,144271,30,0,0,11,145183,195,115,67512,22,0,0,41,67885,134,170,88659,22,0,0,186,89171,107,363,75932,38,0,0,144,76584,116,84,62510,264,0,0,168,63142,153,140,132602,10,0,0,97,133002,74,70,70249,22,0,0,72,70487,91,47,141031,4,0,0,209,141382,28,142,72883,26,0,0,529,73608,56,116,80134,3,0,0,46,80355,12,26,60758,27,0,0,60,60883,168,153,88748,52,0,0,46,89167,41,59,79838,77,0,0,46,80061,2,40,64494,466,0,0,15,65017,209,173,45992,42,0,0,35,46451,68,0,78379,14,0,0,10,78471,0,20,45425,37,0,0,0,45482,1796,2247,1399417,1156,0,0,1715,1406331,9.14
F004000,凱基期貨,75,48,134082,51,0,0,6,134262,0,41,79067,9,2,0,11,79130,23,25,92016,2,0,0,5,92071,28,7,76423,0,0,0,1,76459,3,6,58852,1009,0,0,11,59881,27,23,118291,2,0,0,5,118348,15,16,61646,2,0,0,13,61692,14,22,99554,2,0,0,39,99631,3,33,78829,53,0,0,30,78948,15,13,88062,0,0,0,21,88111,11,25,65408,5,6,0,7,65462,5,6,57543,0,0,0,5,57559,18,13,67282,10,0,0,4,67327,2,24,54640,0,0,0,3,54669,5,91,50394,1,0,0,46,50537,10,77,93833,3,0,0,3,93926,2,177,39211,0,1,0,2,39393,256,647,1315133,1149,9,0,212,1317406,8.56
S980999,元大寶來證券自營,888,1189,73286,79,0,0,73,75515,267,217,43228,65,0,0,44,43821,153,297,63804,100,0,0,83,64437,130,247,45215,87,0,0,54,45733,199,74,42351,97,0,0,238,42959,137,105,72369,97,0,0,30,72738,116,126,34938,0,0,0,88,35268,279,283,80364,75,0,0,170,81171,4,264,61006,3,0,0,160,61437,2239,413,87128,60,0,0,68,89908,293,351,41405,70,0,0,75,42194,193,440,67766,88,0,0,19,68506,65,155,62590,96,0,0,4,62910,39,216,80059,167,0,0,21,80502,30,279,50627,274,0,0,36,51246,188,158,59104,106,0,0,63,59619,60,188,49162,80,0,0,3,49493,5280,5002,1014402,1544,0,0,1229,1027457,6.67
F002000,永豐期貨,0,4,101302,45,0,0,38,101389,1,6,47412,17,0,0,67,47503,6,55,51678,0,0,0,42,51781,7,62,43164,52,0,0,27,43312,2,18,48088,7,0,0,13,48128,9,57,85726,7,0,0,19,85818,12,69,42245,80,0,0,16,42422,6,53,86333,21,0,0,55,86468,5,17,41348,32,0,0,92,41494,8,33,61224,32,0,0,39,61336,1,8,71124,42,0,0,27,71202,3,2,52233,43,0,0,18,52299,8,5,57494,11,0,0,16,57534,8,31,52207,32,0,0,21,52299,7,21,39941,35,0,0,1,40005,10,16,68325,37,0,0,33,68421,0,22,35391,21,0,0,7,35441,93,479,985235,514,0,0,531,986852,6.41
B224999,中國信託商業銀行自營,751,548,114660,0,0,0,70,116029,142,164,48394,504,0,0,28,49232,112,132,43868,102,0,0,64,44278,35,286,35422,131,0,0,46,35920,153,95,37608,56,0,0,182,38094,120,144,74815,53,0,0,64,75196,80,57,35268,189,0,0,23,35617,169,178,69515,131,0,0,176,70169,178,83,51507,151,0,0,364,52283,53,185,45936,97,0,0,123,46394,350,188,56850,171,0,0,108,57667,101,247,29682,186,0,0,121,30337,214,113,36148,265,0,0,209,36949,42,432,38638,201,0,0,114,39427,518,95,29830,132,0,0,219,30794,497,201,53005,79,0,0,165,53947,489,193,27290,140,0,0,53,28165,4004,3341,828436,2588,0,0,2129,840498,5.46
F020000,群益期貨,0,7,84406,5,0,0,0,84418,0,2,29933,2,0,0,6,29943,13,22,37902,1,0,0,1,37939,4,55,35267,2,0,0,0,35328,0,5,36304,2,0,0,4,36315,0,26,60190,6,0,0,8,60230,0,1,25014,5,0,0,0,25020,0,18,54627,0,0,0,1,54646,0,3,40200,1,0,0,14,40218,2,2,40120,3,0,0,6,40133,0,8,34263,0,0,0,0,34271,4,65,36210,0,0,0,8,36287,11,67,39271,1,0,0,3,39353,2,38,46755,115,0,0,2,46912,0,23,27017,7,0,0,5,27052,4,24,46347,8,0,0,2,46385,15,8,23026,6,0,0,10,23065,55,374,696852,164,0,0,70,697515,4.53
F029000,康和期貨,162,44,55742,0,0,0,35,55983,0,3,21596,0,0,0,8,21607,1,13,39201,0,0,0,1,39216,0,6,39572,0,0,0,3,39581,0,2,45458,0,0,0,6,45466,1,9,56961,0,0,0,4,56975,1,15,40230,0,2,0,10,40258,1,78,50681,0,2,0,7,50769,0,4,35096,0,0,0,12,35112,1,17,32130,0,0,0,11,32159,1,0,38649,0,0,0,0,38650,2,0,41864,0,1,0,9,41876,3,5,35845,0,1,0,2,35856,0,0,39228,0,0,0,1,39229,0,4,33835,0,0,0,18,33857,1,6,35479,0,0,0,0,35486,8,1,26913,1,0,0,0,26923,182,207,668480,1,6,0,127,669003,4.34999999999999936
