期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20140401,,,,,,,,20140402,,,,,,,,20140403,,,,,,,,20140407,,,,,,,,20140408,,,,,,,,20140409,,,,,,,,20140410,,,,,,,,20140411,,,,,,,,20140414,,,,,,,,20140415,,,,,,,,20140416,,,,,,,,20140417,,,,,,,,20140418,,,,,,,,20140421,,,,,,,,20140422,,,,,,,,20140423,,,,,,,,20140424,,,,,,,,20140425,,,,,,,,20140428,,,,,,,,20140429,,,,,,,,20140430,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,30,8,133846,103,0,0,0,133987,21,60,114687,100,0,0,0,114868,1,15,82417,101,0,0,0,82534,0,21,104847,76,0,0,0,104944,16,31,123294,95,0,0,0,123436,29,54,60434,145,0,0,0,60662,10,19,128067,73,0,0,0,128169,4370,26,141532,160,0,0,0,146088,3,17,94496,50,0,0,0,94566,2,86,112253,230,0,0,0,112571,7,3,69045,270,0,0,0,69325,53,144,98944,50,0,0,0,99191,104,20,116549,44,0,0,0,116717,0,15,60100,55,0,0,0,60170,5,0,89665,95,0,0,0,89765,7,1,145739,75,0,0,0,145822,0,0,70043,85,0,0,0,70128,0,0,328925,98,0,0,0,329023,0,0,228062,90,0,0,0,228152,0,0,141839,75,0,0,0,141914,0,0,118262,215,0,0,0,118477,4658,520,2563046,2285,0,0,0,2570509,12.16
F021000,元大寶來期貨,192,7,95757,0,1,0,18,95975,243,40,129767,6,5,0,15,130076,113,218,61223,4,0,0,19,61577,257,112,77005,4,4,0,25,77407,176,62,80540,0,3,0,4,80785,126,49,68541,0,0,0,26,68742,232,102,103391,6,1,0,16,103748,265,159,86541,6,2,0,12,86985,68,88,54553,5,2,0,56,54772,209,26,69511,5,1,0,28,69780,91,8,117303,4,4,0,31,117441,267,451,63678,34,0,0,27,64457,314,23,66289,14,2,0,20,66662,52,87,37669,2,0,0,69,37879,114,10,61238,13,1,0,2,61378,91,163,92146,6,0,0,11,92417,15,63,50289,6,3,0,41,50417,384,506,223152,1,11,0,30,224084,161,109,179161,0,4,0,93,179528,79,31,86455,1,3,0,37,86606,723,130,177442,7,0,0,83,178385,4172,2444,1981651,124,47,0,663,1989101,9.41
F034999,澳帝華期貨自營,57,12,87407,10,0,0,72,87558,33,127,109071,11,0,0,50,109292,45,162,52859,11,0,0,55,53132,75,10,66135,5,0,0,34,66259,132,85,82727,17,0,0,5,82966,55,68,73920,2,0,0,85,74130,122,208,90743,38,0,0,47,91158,57,165,93228,12,0,0,6,93468,22,41,66061,18,0,0,72,66214,34,16,78981,0,0,0,41,79072,11,34,122002,78,0,0,94,122219,285,588,51934,34,0,0,73,52914,189,107,55180,41,0,0,41,55558,0,166,34579,21,0,0,58,34824,114,56,50301,26,0,0,45,50542,35,210,109629,12,0,0,53,109939,22,42,46456,685,0,0,27,47232,168,13,163107,10,0,0,21,163319,119,478,168535,6,0,0,102,169240,20,0,98854,0,0,0,20,98894,31,265,145177,0,0,0,34,145507,1626,2853,1846886,1037,0,0,1035,1853437,8.77
S980999,元大寶來證券自營,213,68,95126,70,0,0,51,95528,394,75,80849,117,0,0,29,81464,117,296,56415,89,0,0,25,56942,222,146,62518,90,0,0,3,62979,169,199,66397,90,0,0,5,66860,63,221,49587,95,0,0,61,50027,764,308,89556,164,0,0,60,90852,7173,278,85871,121,0,0,19,93462,1957,90,52628,55,0,0,51,54781,196,109,59559,35,0,0,22,59921,215,106,107623,10,0,0,0,107954,140,731,87025,61,0,0,37,87994,357,387,67045,56,0,0,19,67864,25,263,37625,38,0,0,173,38124,75,62,69442,46,0,0,101,69726,24,192,78978,53,0,0,103,79350,50,163,54990,0,0,0,110,55313,768,587,195579,5,0,0,61,197000,408,569,146971,72,0,0,5,148025,221,219,105176,57,0,0,45,105718,470,387,135693,99,0,0,42,136691,14021,5456,1784653,1423,0,0,1022,1806575,8.55000000000000128
F004000,凱基期貨,15,32,79583,0,0,0,23,79653,3,26,108140,1,0,0,12,108182,2,18,53594,0,0,0,6,53620,6,21,64370,12,0,0,4,64413,8,8,71316,5,0,0,3,71340,13,5,68543,12,0,0,8,68581,20,196,86437,0,1,0,1,86655,20,99,72203,4,0,0,9,72335,4,19,42543,10,1,0,14,42591,9,30,60174,35,0,0,7,60255,17,124,94514,33,2,0,23,94713,4,27,49732,2,0,0,36,49801,12,7,63619,15,0,0,15,63668,0,24,31141,5,0,0,9,31179,4,51,51797,28,0,0,14,51894,8,19,99902,7,0,0,7,99943,0,7,40442,0,0,0,17,40466,23,31,146337,5,0,0,9,146405,10,19,116241,0,0,0,14,116284,2,18,79303,0,0,0,1,79324,8,11,132675,11,0,0,5,132710,188,792,1612606,185,4,0,237,1614012,7.64
F002000,永豐期貨,41,41,62900,23,0,0,14,63019,70,50,89748,21,0,0,66,89955,2,52,35888,61,0,0,22,36025,20,39,48818,29,0,0,29,48935,14,10,56013,14,0,0,5,56056,28,7,48991,15,0,0,46,49087,28,39,61719,103,0,0,18,61907,79,41,73292,88,0,0,3,73503,32,13,40935,34,0,0,17,41031,7,31,57033,28,0,0,2,57101,15,20,90213,7,0,0,33,90288,5,54,44851,62,0,0,22,44994,48,23,58190,20,0,0,7,58288,38,26,21828,8,0,0,23,21923,25,3,42315,18,0,0,2,42363,7,153,95660,23,0,0,32,95875,2,12,40155,9,0,0,4,40182,122,9,151419,30,0,0,33,151613,10,43,100849,7,0,0,8,100917,3,8,77873,8,0,0,7,77899,6,119,120748,5,0,0,14,120892,602,793,1419438,613,0,0,407,1421853,6.73
B224999,中國信託商業銀行自營,60,114,65177,48,0,0,0,65399,105,62,101173,42,0,0,15,101397,45,183,39327,88,0,0,23,39666,132,72,46529,136,0,0,117,46986,77,107,32116,89,0,0,22,32411,137,357,55095,84,0,0,92,55765,945,268,59377,136,0,0,91,60817,242,271,74316,169,0,0,26,75024,82,184,49877,131,0,0,98,50372,205,264,65334,174,0,0,50,66027,359,186,95724,134,0,0,108,96511,70,422,57313,178,0,0,70,58053,94,41,39511,154,0,0,16,39816,20,115,30240,100,0,0,109,30584,63,66,47613,140,0,0,31,47913,91,191,65021,126,0,0,62,65491,47,102,35773,93,0,0,56,36071,633,495,104298,109,0,0,91,105626,186,63,74328,100,0,0,135,74812,89,113,65544,146,0,0,7,65899,232,183,108202,126,0,0,49,108792,3914,3859,1311888,2503,0,0,1268,1323432,6.26
F029000,康和期貨,3,8,38424,0,1,0,2,38438,18,1,62715,0,5,0,1,62740,0,24,34010,0,0,0,14,34048,2,10,38464,0,2,0,4,38482,0,13,37265,0,3,0,0,37281,0,9,54861,0,0,0,30,54900,14,19,54088,0,0,0,1,54122,26,11,45515,0,0,0,0,45552,2,8,29165,0,1,0,82,29258,2,4,34839,1,1,0,58,34905,14,16,59063,0,0,0,33,59126,0,2,41697,0,0,0,2,41701,5,6,36727,10,0,0,30,36778,0,0,27171,0,0,0,27,27198,0,119,45866,0,0,0,1,45986,4,36,72462,0,0,0,8,72510,4,22,44881,0,3,0,18,44928,10,25,69795,0,1,0,19,69850,4,12,64731,5,4,0,11,64767,16,29,47924,0,3,0,12,47984,14,6,90023,1,0,0,0,90044,138,380,1029686,17,24,0,353,1030598,4.88
F020000,群益期貨,11,12,37166,5,0,0,4,37198,3,19,49026,0,0,0,20,49068,14,7,23172,10,0,0,3,23206,13,8,32770,22,0,0,7,32820,12,4,33575,6,0,0,1,33598,9,5,35860,0,0,0,4,35878,6,18,48436,0,0,0,3,48463,2,7,46098,0,0,0,1,46108,27,20,33959,0,0,0,4,34010,5,16,32891,0,0,0,0,32912,19,17,44756,0,0,0,10,44802,16,6,29982,0,0,0,18,30022,21,45,32682,2,0,0,5,32755,2,42,20742,0,0,0,0,20786,9,64,29093,80,0,0,0,29246,10,0,41889,1,0,0,39,41939,27,53,22042,0,0,0,14,22136,30,15,86842,50,0,0,15,86952,18,70,70044,15,0,0,11,70158,9,12,41401,35,0,0,41,41498,8,9,54665,120,0,0,39,54841,271,449,847091,346,0,0,239,848396,4.01
