期貨商代號,名稱,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,TEO,TFO,TXO,STC,XIO,GTO,TGO,小計,總計TEO,總計TFO,總計TXO,總計STC,總計XIO,總計GTO,總計TGO,總計,市佔率
Date,,20140901,,,,,,,,20140902,,,,,,,,20140903,,,,,,,,20140904,,,,,,,,99999999,,,,,,,
S157999,港商法國興業證券自營,15,58,169033,72,0,0,0,169178,232,6,256631,98,0,0,0,256967,248,73,192620,30,0,0,0,192971,18,16,147977,72,0,0,0,148083,513,153,766261,272,0,0,0,767199,13.7
F021000,元大寶來期貨,387,284,93154,6,6,0,0,93837,446,107,226336,3,8,0,5,226905,229,413,164975,0,8,0,19,165644,279,85,103461,56,2,0,19,103902,1341,889,587926,65,24,0,43,590288,10.5399999999999984
F034999,澳帝華期貨自營,205,698,101302,16,0,0,40,102261,270,393,199438,21,0,0,31,200153,130,345,170401,5,0,0,44,170925,90,65,103407,28,0,0,20,103610,695,1501,574548,70,0,0,135,576949,10.3
S980999,元大寶來證券自營,220,509,117011,137,0,0,15,117892,257,284,192484,137,0,0,6,193168,338,506,114602,130,0,0,40,115616,66,112,117822,145,0,0,60,118205,881,1411,541919,549,0,0,121,544881,9.73
F002000,永豐期貨,34,50,77120,17,0,0,0,77221,24,56,125259,4,0,0,4,125347,10,115,143479,4,0,0,3,143611,5,56,78287,14,0,0,0,78362,73,277,424145,39,0,0,7,424541,7.58
F004000,凱基期貨,12,9,82509,68,0,0,0,82598,15,22,142634,10,0,0,1,142682,13,28,119344,76,0,0,8,119469,1,23,68627,44,0,0,1,68696,41,82,413114,198,0,0,10,413445,7.38
F029000,康和期貨,0,0,49114,0,0,0,0,49114,6,14,84024,0,5,0,1,84050,3,11,66196,0,0,0,1,66211,0,18,77768,0,0,0,0,77786,9,43,277102,0,5,0,2,277161,4.95
F008000,統一期貨,87,7,55256,5,0,0,1,55356,15,138,70134,5,0,0,1,70293,28,51,71913,2,0,0,7,72001,118,86,27118,1,0,0,4,27327,248,282,224421,13,0,0,13,224977,4.01999999999999936
F020000,群益期貨,7,13,52819,13,6,0,0,52858,23,18,79226,21,3,0,13,79304,11,57,52556,16,8,0,15,52663,25,11,31212,0,0,0,0,31248,66,99,215813,50,17,0,28,216073,3.86
F039000,大昌期貨,88,2,37782,0,0,0,2,37874,90,0,58064,1,0,0,0,58155,1,9,49242,0,0,0,1,49253,0,8,32948,1,0,0,0,32957,179,19,178036,2,0,0,3,178239,3.18
F026000,富邦期貨,1,45,32863,215,0,0,0,33124,6,13,70627,260,0,0,0,70906,0,11,43903,202,0,0,0,44116,1,1,29171,260,0,0,0,29433,8,70,176564,937,0,0,0,177579,3.17
B224999,中國信託商業銀行自營,61,771,29804,10,0,0,0,30646,106,338,39638,70,0,0,49,40201,205,211,35639,110,0,0,51,36216,38,91,22985,173,0,0,50,23337,410,1411,128066,363,0,0,150,130400,2.33
F018000,元富期貨,3,17,22924,0,0,0,4,22948,14,13,42370,2,0,0,1,42400,13,9,30620,2,0,0,2,30646,9,2,17720,0,0,0,0,17731,39,41,113634,4,0,0,7,113725,2.02999999999999968
F007000,日盛期貨,11,332,25361,0,0,0,1,25705,13,230,36657,0,0,0,5,36905,6,72,32225,1,0,0,18,32322,2,38,16491,0,0,0,0,16531,32,672,110734,1,0,0,24,111463,1.99
S920999,凱基證券自營,72,589,17728,158,0,0,2,18549,148,152,43292,126,0,0,14,43732,554,315,23762,138,0,0,107,24876,70,137,18502,191,0,0,11,18911,844,1193,103284,613,0,0,134,106068,1.89
S888999,國泰證券自營,69,0,12533,0,0,0,0,12602,139,0,22336,0,0,0,0,22475,113,0,23490,0,0,0,0,23603,148,0,9521,0,0,0,0,9669,469,0,67880,0,0,0,0,68349,1.22
