================================================
 date:20140821 - 0 open:9286.8203125 close:9253.3798828125 high:9289.01953125 low:9217.9697265625 volume:4968740.0 money:800.84
 date:20140822 - 0 open:9273.0703125 close:9380.099609375 high:9380.599609375 low:9271.8701171875 volume:5554560.0 money:1007.04
 date:20140825 - 0 open:9393.240234375 close:9390.6201171875 high:9409.349609375 low:9369.240234375 volume:4848300.0 money:754.74
 date:20140826 - 0 open:9394.2802734375 close:9393.9599609375 high:9418.76953125 low:9386.490234375 volume:5219180.0 money:895.61
 date:20140827 - 0 open:9426.2900390625 close:9485.58984375 high:9491.75 low:9426.2900390625 volume:6402200.0 money:1152.35
 date:20140828 - 0 open:9499.2197265625 close:9478.3701171875 high:9502.419921875 low:9453.490234375 volume:6342460.0 money:997.99
 date:20140829 - 0 open:9459.8095703125 close:9436.26953125 high:9470.150390625 low:9425.349609375 volume:5184980.0 money:888.23
 date:20140901 - 0 open:9474.41015625 close:9513.0595703125 high:9532.66015625 low:9472.9599609375 volume:5131290.0 money:865.65
 date:20140902 - 0 open:9503.650390625 close:9399.7197265625 high:9503.650390625 low:9388.1298828125 volume:5462650.0 money:878.29
 date:20140903 - 0 open:9434.8798828125 close:9450.349609375 high:9455.7802734375 low:9396.7900390625 volume:5316560.0 money:884.21
 date:20140904 - 0 open:9439.759765625 close:9428.8896484375 high:9439.759765625 low:9389.2900390625 volume:4614590.0 money:731.68
 date:20140905 - 0 open:9446.4501953125 close:9407.9404296875 high:9451.3896484375 low:9365.7001953125 volume:4225310.0 money:705.25
 date:20140909 - 0 open:9452.1396484375 close:9434.76953125 high:9465.9296875 low:9426.990234375 volume:4413240.0 money:788.29
 date:20140910 - 0 open:9410.6201171875 close:9357.6103515625 high:9410.6201171875 low:9309.0498046875 volume:4764080.0 money:775.87
 date:20140911 - 0 open:9376.3798828125 close:9322.9501953125 high:9381.0498046875 low:9322.9501953125 volume:4521080.0 money:711.92
