Rate:0.40760 snum:1101 台泥
Rate:0.47172 snum:1102 亞泥
Rate:1.54478 snum:1201 味全
Rate:0.89570 snum:1210 大成
Rate:2.64029 snum:1215 卜蜂
Rate:0.60553 snum:1216 統一
Rate:1.93471 snum:1217 愛之味
Rate:3.27910 snum:1218 泰山
Rate:2.48372 snum:1227 佳格
Rate:1.93767 snum:1229 聯華
Rate:1.64353 snum:1234 黑松
Rate:0.60890 snum:1301 台塑
Rate:0.85061 snum:1303 南亞
Rate:0.99628 snum:1304 台聚
Rate:1.08119 snum:1305 華夏
Rate:1.11143 snum:1309 台達化
Rate:1.06751 snum:1310 台苯
Rate:0.95001 snum:1312 國喬
Rate:0.89935 snum:1313 聯成
Rate:1.77194 snum:1314 中石化
Rate:0.84145 snum:1319 東陽
Rate:0.91415 snum:1326 台化
Rate:0.99321 snum:1402 遠東新
Rate:1.57496 snum:1409 新纖
Rate:0.73907 snum:1416 廣豐
Rate:2.17368 snum:1417 嘉裕
Rate:1.41050 snum:1419 新紡
Rate:1.65906 snum:1440 南紡
Rate:1.45284 snum:1444 力麗
Rate:1.18761 snum:1447 力鵬
Rate:1.34803 snum:1455 集盛
Rate:1.71792 snum:1457 宜進
Rate:1.80837 snum:1464 得力
Rate:1.31501 snum:1471 首利
Rate:0.83419 snum:1504 東元
Rate:1.58071 snum:1506 正道
Rate:1.32514 snum:1513 中興電
Rate:1.51075 snum:1514 亞力
Rate:0.83578 snum:1516 川飛
Rate:1.13025 snum:1517 利奇
Rate:1.62947 snum:1528 恩德
Rate:1.68642 snum:1529 樂士
Rate:1.83402 snum:1531 高林股
Rate:1.88566 snum:1537 廣隆
Rate:1.40790 snum:1603 華電
Rate:0.93919 snum:1604 聲寶
Rate:1.30576 snum:1605 華新
Rate:1.15612 snum:1608 華榮
Rate:1.03471 snum:1609 大亞
Rate:1.66974 snum:1611 中電
Rate:1.42296 snum:1701 中化
Rate:1.60500 snum:1702 南僑
Rate:1.06557 snum:1704 榮化
Rate:2.04648 snum:1707 葡萄王
Rate:1.52130 snum:1708 東鹼
Rate:1.01037 snum:1710 東聯
Rate:1.42743 snum:1711 永光
Rate:1.32639 snum:1712 興農
Rate:1.80726 snum:1714 和桐
Rate:1.30938 snum:1717 長興
Rate:1.92932 snum:1718 中纖
Rate:0.72196 snum:1722 台肥
Rate:1.71302 snum:1727 中華化
Rate:1.80647 snum:1734 杏輝
Rate:1.36742 snum:1802 台玻
Rate:1.74225 snum:1806 冠軍
Rate:2.38331 snum:1809 中釉
Rate:2.05540 snum:1810 和成
Rate:1.23776 snum:1902 台紙
Rate:1.18973 snum:1904 正隆
Rate:1.07396 snum:1905 華紙
Rate:0.90223 snum:1907 永豐餘
Rate:1.50109 snum:1909 榮成
Rate:0.66180 snum:2002 中鋼
Rate:0.52133 snum:2006 東鋼
Rate:1.13809 snum:2009 第一銅
Rate:1.22752 snum:2012 春雨
Rate:0.67437 snum:2014 中鴻
Rate:1.04883 snum:2017 官田鋼
Rate:0.51739 snum:2022 聚亨
Rate:1.56696 snum:2023 燁輝
Rate:1.08581 snum:2025 千興
Rate:0.91371 snum:2027 大成鋼
Rate:0.49356 snum:2031 新光鋼
Rate:0.80739 snum:2034 允強
Rate:1.98508 snum:2049 上銀
Rate:1.34186 snum:2101 南港
Rate:0.96271 snum:2102 泰豐
Rate:1.31778 snum:2103 台橡
Rate:1.31047 snum:2104 中橡
Rate:1.16399 snum:2105 正新
Rate:1.23365 snum:2107 厚生
Rate:1.37525 snum:2109 華豐
Rate:1.42557 snum:2201 裕隆
Rate:1.43065 snum:2204 中華
Rate:1.70080 snum:2206 三陽
Rate:1.07836 snum:2208 台船
Rate:0.52173 snum:2301 光寶科
Rate:2.17298 snum:2302 麗正
Rate:0.54839 snum:2303 聯電
Rate:1.17040 snum:2308 台達電
Rate:0.91941 snum:2311 日月光
Rate:1.29462 snum:2312 金寶
Rate:1.60134 snum:2313 華通
Rate:1.35978 snum:2314 台揚
Rate:1.08380 snum:2315 神達
Rate:1.44770 snum:2316 楠梓電
Rate:0.76385 snum:2317 鴻海
Rate:1.02683 snum:2323 中環
Rate:0.68370 snum:2324 仁寶
Rate:0.77408 snum:2325 矽品
Rate:1.20179 snum:2327 國巨
Rate:1.89219 snum:2328 廣宇
Rate:1.04937 snum:2329 華泰
Rate:0.95330 snum:2330 台積電
Rate:1.30273 snum:2331 精英
Rate:0.62049 snum:2332 友訊
Rate:1.60191 snum:2337 旺宏
Rate:1.47781 snum:2340 光磊
Rate:1.58439 snum:2342 茂矽
Rate:1.04150 snum:2344 華邦電
Rate:1.71703 snum:2345 智邦
Rate:1.32181 snum:2347 聯強
Rate:1.03978 snum:2349 錸德
Rate:1.33834 snum:2351 順德
Rate:1.35755 snum:2352 佳世達
Rate:0.66563 snum:2353 宏碁
Rate:0.90026 snum:2354 鴻準
Rate:0.84982 snum:2356 英業達
Rate:0.77361 snum:2357 華碩
Rate:0.90519 snum:2360 致茂
Rate:1.13743 snum:2362 藍天
Rate:1.30318 snum:2363 矽統
Rate:1.46406 snum:2364 倫飛
Rate:1.12388 snum:2365 昆盈
Rate:1.36467 snum:2367 燿華
Rate:1.14776 snum:2368 金像電
Rate:1.80747 snum:2369 菱生
Rate:1.33184 snum:2371 大同
Rate:0.77973 snum:2374 佳能
Rate:1.47445 snum:2375 智寶
Rate:1.51448 snum:2376 技嘉
Rate:0.82920 snum:2377 微星
Rate:0.79609 snum:2379 瑞昱
Rate:1.52702 snum:2380 虹光
Rate:0.61025 snum:2382 廣達
Rate:1.81504 snum:2383 台光電
Rate:1.49042 snum:2384 勝華
Rate:0.90779 snum:2385 群光
Rate:1.84117 snum:2388 威盛
Rate:1.66961 snum:2390 云辰
Rate:0.97030 snum:2392 正崴
Rate:0.83738 snum:2393 億光
Rate:1.12903 snum:2401 凌陽
Rate:1.90104 snum:2402 毅嘉
